asx500_name,morningstar_name,match_score
kina petroleum,kina petroleum,100
japara healthcare,japara healthcare,100
asaleo care,asaleo care,100
bapcor,bapcor,100
isentia,isentia,100
3p learning,3p learning,100
aconex,aconex,100
apn outdoor,apn outdoor,100
asf,asf,100
ashley services,ashley services,100
australian careers network,australian careers network,100
awn,awn,100
beacon lighting,beacon lighting,100
bellamy's australia,bellamy's australia,100
blue sky alternative investments,blue sky alternative investments,100
centuria office reit,centuria office reit,100
centuria urban reit,centuria urban reit,100
elanor investor,elanor investor,100
eml payments,eml payments,100
estia health,estia health,100
genesis energy,genesis energy,100
godfreys,godfreys,100
grays ecommerce,grays ecommerce,100
highfield resources,highfield resources,100
huon aquaculture,huon aquaculture,100
hydrix,hydrix,100
intueri education,intueri education,100
iph,iph,100
lifehealthcare,lifehealthcare,100
lindsay australia,lindsay australia,100
adairs,adairs,100
eclipx,eclipx,100
gateway lifestyle,gateway lifestyle,100
costa,costa,100
eqt,eqt,100
8i,8i,100
adacel technologies,adacel technologies,100
alexium international,alexium international,100
amaysim australia,amaysim australia,100
apiam animal health,apiam animal health,100
australian finance,australian finance,100
ava risk,ava risk,100
baby bunting,baby bunting,100
bwx,bwx,100
capilano honey,capilano honey,100
caq,caq,100
cipherpoint,cipherpoint,100
class,class,100
contact energy,contact energy,100
dacian gold,dacian gold,100
dome gold mines,dome gold mines,100
dongfang modern agriculture,dongfang modern agriculture,100
eureka,eureka,100
experience co,experience co,100
hub24,hub24,100
idp education,idp education,100
impelus,impelus,100
integral diagnostics,integral diagnostics,100
ive,ive,100
oneall international,oneall international,100
88 energy,88 energy,100
airxpanders inc,"airxpanders, inc",97
amplia therapeutics,amplia therapeutics,100
apollo tourism & leisure,apollo tourism & leisure,100
appen,appen,100
autosports,autosports,100
bsa,bsa,100
cardinal resources,cardinal resources,100
catapult  international,catapult  international,100
centuria capital,centuria capital,100
champion iron,champion iron,100
charter hall long wale reit,charter hall long wale reit,100
cogstate,cogstate,100
compumedics,compumedics,100
ding sheng xin finance co,ding sheng xin finance co.,100
eden innovations,eden innovations,100
elanor retail property fund,elanor retail property fund,100
freedom insurance,freedom insurance,100
gascoyne resources,gascoyne resources,100
gtn,gtn,100
inghams,inghams,100
kina securities,kina securities,100
kogan.com,kogan.com,100
nova eye medical,nova eye medical,100
afterpay,afterpay,100
bingo industries,bingo industries,100
domain  australia,domain  australia,100
argosy minerals,argosy minerals,100
artemis resources,artemis resources,100
australian mines,australian mines,100
avz minerals,avz minerals,100
brainchip,brainchip,100
bubs australia,bubs australia,100
cann,cann,100
credible labs inc,credible labs inc,100
dexus convenience retail reit,dexus convenience retail reit,100
electro optic systems,electro optic systems,100
fbr,fbr,100
fiducian,fiducian,100
getswift,getswift,100
hastings technology metals,hastings technology metals,100
ioneer,ioneer,100
johns lyng,johns lyng,100
coles,coles,100
alita resources,alita resources,100
aeon metals,aeon metals,100
audinate,audinate,100
auscann,auscann,100
australian ethical investment,australian ethical investment,100
bellevue gold,bellevue gold,100
byron energy,byron energy,100
cog financial services,cog financial services,100
comet ridge,comet ridge,100
coronado global resources inc,coronado global resources inc,100
e&p financial,e&p financial,100
elmo software,elmo software,100
galilee energy,galilee energy,100
helios energy,helios energy,100
intega,intega,100
adriatic metals plc,adriatic metals plc,100
advance zinctek,advance zinctek,100
aerometrex,aerometrex,100
alcidion,alcidion,100
atomo diagnostics,atomo diagnostics,100
atomos,atomos,100
avita medical inc,"avita medical, inc",97
bigtincan,bigtincan,100
capricorn metals,capricorn metals,100
carbon revolution,carbon revolution,100
catalyst metals,catalyst metals,100
damstra,damstra,100
de grey mining,de grey mining,100
ebos,ebos,100
ecofibre,ecofibre,100
elanor commercial property fund,elanor commercial property fund,100
emerald resources nl,emerald resources nl,100
envirosuite,envirosuite,100
frontier digital ventures,frontier digital ventures,100
genetic signatures,genetic signatures,100
image resources nl,image resources nl,100
kalium lakes,kalium lakes,100
legend mining,legend mining,100
life360 inc,life360 inc,100
deterra royalties,deterra royalties,100
homeco daily needs reit,homeco daily needs reit,100
liberty financial,liberty financial,100
adore beauty,adore beauty,100
australian strategic materials,australian strategic materials,100
dgo gold,dgo gold,100
aussie broadband,aussie broadband,100
emvision medical devices,emvision medical devices,100
cyclopharm,cyclopharm,100
booktopia,booktopia,100
dalrymple bay infrastructure,dalrymple bay infrastructure,100
imricor medical systems inc,imricor medical systems inc,100
hipages,hipages,100
harmoney corp,harmoney corp,100
cleanspace,cleanspace,100
american pacific borates,american pacific borates,100
4dmedical,4dmedical,100
cettire,cettire,100
aroa biosurgery,aroa biosurgery,100
betmakers technology,betmakers technology,100
doctor care anywhere  plc,doctor care anywhere  plc,100
laybuy,laybuy,100
centaurus metals,centaurus metals,100
pointerra,pointerra,100
alpha hpa,alpha hpa,100
jervois global,jervois global,100
andromeda metals,andromeda metals,100
geopacific resources,geopacific resources,100
imugene,imugene,100
auteco minerals,auteco minerals,100
juno minerals,juno minerals,100
clean teq water,clean teq water,100
calix,calix,100
globe international,globe international,100
australian clinical labs,australian clinical labs,100
bsp financial,bsp financial,100
eroad,eroad,100
apm human services international,apm human services international,100
develop global,develop global,100
best & less,best & less,100
29metals,29metals,100
lynch,lynch,100
keypath education international inc,keypath education international inc,100
boss energy,boss energy,100
lake resources nl,lake resources nl,100
