yearmonth,ticker,industry,ret,log_scope1,log_scope2,log_total_emissions,log_energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int,logsize,bm,leverage,mom,investa,roe,logppe,beta,volat,salesgr,epsgr,ticker_encode,date,winsor_bm,winsor_leverage,winsor_mom,winsor_investa,winsor_roe,winsor_volat,winsor_salesgr,winsor_epsgr
201103,ABY1,54,.11278196,11.401692,10.0063148623356,22.914619,14.583863,5687,-4384,568695616,505866,192.91664,47.793079,19291712,4649.1025,19.954945,1.1434494,.0076266979,.044071477,-.021678068,.1083,19.760269,4.3499999,.63812488,.11602665,-.87162161,ABY1,2011m3,1.1434494,.0076266979,.044071477,-.021678068,.1083,.63812488,.11602665,-.87162161
201207,ABY1,54,-.12765957,11.582218,10.5376805902524,23.095148,14.796548,17702,15544,1770215544,511009,215.82886,75.940346,21582962,5371.2456,19.22743,2.358336,.00096210965,-.082294084,-.051651221,.050299998,19.713373,4.3200002,.35513496,.25207996,-24,ABY1,2012m7,2.358336,.002030686,-.082294084,-.051651221,.050299998,.35513496,.25207996,-24
201111,ABY1,54,-.21428572,11.401692,10.0063148623356,22.914619,14.583863,5687,-4384,568695616,505866,192.91664,47.793079,19291712,4649.1025,19.954945,1.1434494,.0076266979,-.00686409,-.021678068,.1083,19.760269,4.3499999,.15478981,.22300871,-1.6753247,ABY1,2011m11,1.1434494,.0076266979,-.00686409,-.021678068,.1083,.15478981,.22300871,-1.6753247
201009,ABY1,54,.31818181,11.336021,10.18678502667008,22.848949,14.316496,-7153,-18772,-715318772,-183309,204.36656,64.759415,20436722,4025.4404,19.662748,1.3645533,.012361514,-.00047997522,-.017438112,.13,19.795185,4.3400002,.90125132,.058343377,37.818966,ABY1,2010m9,1.3645533,.012361514,-.00047997522,-.017438112,.13,.90125132,.058343377,37.818966
201502,ABY1,54,-.050000001,11.203352,8.349720837472489,20.413698,14.164747,-8429,-1782,-84291782,-174268,826.60419,47.641041,8266089.5,15974.056,17.875504,4.9080343,.0032601603,-.028991628,-.041201901,-.78100002,19.189932,1.79,.17351693,-4.1152501,-368.63159,ABY1,2015m2,2.358336,.0032601603,-.028991628,-.041201901,-.1648,.17351693,-4.1152501,-237.8
201206,ABY1,54,-.12962963,11.582218,10.5376805902524,23.095148,14.796548,17702,15544,1770215544,511009,215.82886,75.940346,21582962,5371.2456,19.22743,2.358336,.00096210965,-.083261862,-.051651221,.050299998,19.713373,4.3200002,.35117662,.22257452,-20.936171,ABY1,2012m6,2.358336,.002030686,-.083261862,-.051651221,.050299998,.35117662,.22257452,-20.936171
201104,ABY1,54,.21621622,11.401692,10.0063148623356,22.914619,14.583863,5687,-4384,568695616,505866,192.91664,47.793079,19291712,4649.1025,19.954945,1.1434494,.0076266979,.040312078,-.021678068,.1083,19.760269,4.3499999,.63795173,.095399506,-.71666664,ABY1,2011m4,1.1434494,.0076266979,.040312078,-.021678068,.1083,.63795173,.095399506,-.71666664
201106,ABY1,54,-.14124294,11.401692,10.0063148623356,22.914619,14.583863,5687,-4384,568695616,505866,192.91664,47.793079,19291712,4649.1025,19.954945,1.1434494,.0076266979,.083919324,-.021678068,.1083,19.760269,4.3499999,.15547639,.11260332,-.84868419,ABY1,2011m6,1.1434494,.0076266979,.083919324,-.021678068,.1083,.15547639,.11260332,-.84868419
201110,ABY1,54,.12643678,11.401692,10.0063148623356,22.914619,14.583863,5687,-4384,568695616,505866,192.91664,47.793079,19291712,4649.1025,19.954945,1.1434494,.0076266979,-.013808534,-.021678068,.1083,19.760269,4.3499999,.14759108,.17433505,-1.3163265,ABY1,2011m10,1.1434494,.0076266979,-.013808534,-.021678068,.1083,.14759108,.17433505,-1.3163265
201107,ABY1,54,-.019736841,11.401692,10.0063148623356,22.914619,14.583863,5687,-4384,568695616,505866,192.91664,47.793079,19291712,4649.1025,19.954945,1.1434494,.0076266979,.083260186,-.021678068,.1083,19.760269,4.3499999,.12867267,.11524887,-.86577183,ABY1,2011m7,1.1434494,.0076266979,.083260186,-.021678068,.1083,.12867267,.11524887,-.86577183
201004,ABY1,54,-.018181818,11.336021,10.18678502667008,22.848949,14.316496,-7153,-18772,-715318772,-183309,204.36656,64.759415,20436722,4025.4404,19.662748,1.3645533,.012361514,.24874297,-.017438112,.13,19.795185,4.3400002,.19840401,.062935822,40.620369,ABY1,2010m4,1.3645533,.012361514,.13144758,-.017438112,.13,.19840401,.062935822,40.620369
201101,ABY1,54,-.074626863,11.401692,10.0063148623356,22.914619,14.583863,5687,-4384,568695616,505866,192.91664,47.793079,19291712,4649.1025,19.954945,1.1434494,.0076266979,.024157828,-.021678068,.1083,19.760269,4.3499999,.89971638,.1384837,-1.0403225,ABY1,2011m1,1.1434494,.0076266979,.024157828,-.021678068,.1083,.89971638,.1384837,-1.0403225
201205,ABY1,54,-.16923077,11.582218,10.5376805902524,23.095148,14.796548,17702,15544,1770215544,511009,215.82886,75.940346,21582962,5371.2456,19.22743,2.358336,.00096210965,-.070548184,-.051651221,.050299998,19.713373,4.3200002,.34361675,.19373006,-18.222221,ABY1,2012m5,2.358336,.002030686,-.070548184,-.051651221,.050299998,.34361675,.19373006,-18.222221
201011,ABY1,54,-.024793388,11.336021,10.18678502667008,22.848949,14.316496,-7153,-18772,-715318772,-183309,204.36656,64.759415,20436722,4025.4404,19.662748,1.3645533,.012361514,.011680491,-.017438112,.13,19.795185,4.3400002,.90071851,.057601817,37.177967,ABY1,2010m11,1.3645533,.012361514,.011680491,-.017438112,.13,.90071851,.057601817,37.177967
201006,ABY1,54,-.13333334,11.336021,10.18678502667008,22.848949,14.316496,-7153,-18772,-715318772,-183309,204.36656,64.759415,20436722,4025.4404,19.662748,1.3645533,.012361514,.04451618,-.017438112,.13,19.795185,4.3400002,.91150713,.10457067,67.49231,ABY1,2010m6,1.3645533,.012361514,.04451618,-.017438112,.13,.91150713,.10457067,67.49231
201202,ABY1,54,-.10112359,11.582218,10.5376805902524,23.095148,14.796548,17702,15544,1770215544,511009,215.82886,75.940346,21582962,5371.2456,19.22743,2.358336,.00096210965,-.012239066,-.051651221,.050299998,19.713373,4.3200002,.23664923,.13076586,-12.3,ABY1,2012m2,2.358336,.002030686,-.012239066,-.051651221,.050299998,.23664923,.13076586,-12.3
