Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
GBT AT Equity,GBST Holdings Ltd,IT Services,451020,4.369999886,3.809999943,258542480
GDI AT Equity,GDI Property Group Partnership,Equity Real Estate Investment Trusts (REITs),601010,0.954999983,0.970000029,522654528
GOR AT Equity,Gold Road Resources Ltd,Metals & Mining,151040,0.625,0.564999998,491352544
GMG AT Equity,Goodman Group,Equity Real Estate Investment Trusts (REITs),601010,7.28000021,6.789999962,12148131840
GOW AT Equity,Gowing Brothers Ltd,Diversified Financial Services,402010,3.529999971,3.450000048,--
GPT AT Equity,GPT Group/The,Equity Real Estate Investment Trusts (REITs),601010,5.059999943,4.659999847,8378472960
GNG AT Equity,GR Engineering Services Ltd,Metals & Mining,151040,1.610000014,1.835000038,280518848
GNC AT Equity,GrainCorp Ltd,Food & Staples Retailing,301010,7.849999905,8.399999619,1922387200
GRR AT Equity,Grange Resources Ltd,Metals & Mining,151040,0.109999999,0.115000002,133093952
GEG AT Equity,Grays eCommerce Group Ltd,Interactive Media & Services,502030,1.399999976,1.399999976,178468240
GSL AT Equity,Greatcell Solar Ltd,Semiconductors & Semiconductor Equipment,453010,0.189999998,0.215000004,80185040
GXL AT Equity,Greencross Ltd,Specialty Retail,255040,6.440000057,6.980000019,810618240
GOZ AT Equity,Growthpoint Properties Australia Ltd,Equity Real Estate Investment Trusts (REITs),601010,3.430000067,3.109999895,1994621184
GUD AT Equity,GUD Holdings Ltd,Auto Components,251010,10.52999973,9.5,814525696
GWA AT Equity,GWA Group Ltd,Building Products,201020,2.869999886,2.859999895,754890240
HSN AT Equity,Hansen Technologies Ltd,Software,451030,4.679999828,4.110000134,746683264
HVN AT Equity,Harvey Norman Holdings Ltd,Multiline Retail,255030,5.199999809,5.050000191,5618402304
HLS AT Equity,Healius Ltd,Health Care Providers & Services,351020,3.960000038,3.839999914,2002302464
HSO AT Equity,Healthscope Ltd,Health Care Providers & Services,351020,3.069999933,2.210000038,3834556672
HLI AT Equity,Helia Group Ltd,Thrifts & Mortgage Finance,401020,2.690000057,3.059999943,1558657024
HLO AT Equity,Helloworld Travel Ltd,"Hotels, Restaurants & Leisure",253010,4.349999905,4.400000095,525529024
HFR AT Equity,Highfield Resources Ltd,Chemicals,151010,1.279999971,1.139999986,364714496
HZN AT Equity,Horizon Oil Ltd,"Oil, Gas & Consumable Fuels",101020,0.039000001,0.037999999,49475292
HPI AT Equity,Hotel Property Investments Ltd,Equity Real Estate Investment Trusts (REITs),601010,3,2.819999933,412017344
HT1 AT Equity,HT&E Ltd,Media,502010,3.14937377,2.680000067,590799872
HUB AT Equity,HUB24 Ltd,Capital Markets,402030,5.329999924,5.300000191,283342112
HUM AT Equity,Humm Group Ltd,Consumer Finance,402020,2.319999933,2.25,837791232
HUO AT Equity,Huon Aquaculture Group Ltd,Food Products,302020,3.400000095,3.630000114,317034048
HTA AT Equity,Hutchison Telecommunications Australia Ltd,Wireless Telecommunication Services,501020,0.079999998,0.082000002,1112945664
IFN AT Equity,Iberdrola Australia Ltd,Independent Power and Renewable Electricity Producers,551050,0.805000007,1.004999995,784480256
ICQ AT Equity,iCar Asia Ltd,Interactive Media & Services,502030,0.284999996,0.25,75941928
IEL AT Equity,IDP Education Ltd,Diversified Consumer Services,253020,4.75,4.53000021,1133836160
IGO AT Equity,IGO Ltd,Metals & Mining,151040,4.179999828,4.25,2493469184
ILU AT Equity,Iluka Resources Ltd,Metals & Mining,151040,6.269999981,5.769999981,2415906816
IMM AT Equity,Immutep Ltd,Biotechnology,352010,0.037999999,0.035999998,74575360
IPD AT Equity,ImpediMed Ltd,Health Care Equipment & Supplies,351010,1.585000038,1.629999995,610203200
IMS AT Equity,Impelus Ltd,Media,502010,0.300000012,0.270000011,119563528
IPL AT Equity,Incitec Pivot Ltd,Chemicals,151010,2.819999933,2.950000048,4977153024
IFM AT Equity,Infomedia Ltd,Software,451030,0.805000007,0.75999999,235818016
INA AT Equity,Ingenia Communities Group,Equity Real Estate Investment Trusts (REITs),601010,2.809999943,2.720000029,481579872
IFL AT Equity,Insignia Financial Ltd,Capital Markets,402030,8.670000076,8.199999809,2461096704
IAG AT Equity,Insurance Australia Group Ltd,Insurance,403010,5.46999979,5.510000229,13045059584
IDX AT Equity,Integral Diagnostics Ltd,Health Care Providers & Services,351020,1.575000048,1.620000005,234971536
IRI AT Equity,Integrated Research Ltd,Software,451030,2.299999952,2.309999943,394041984
IVC AT Equity,InvoCare Ltd,Diversified Consumer Services,253020,13.90999985,13.06999969,1438096000
IPH AT Equity,IPH Ltd,Professional Services,202020,5.699999809,5.849999905,1115261184
IRE AT Equity,IRESS Ltd,Software,451030,11.80000019,11.35000038,1913399296
INM AT Equity,Iron Mountain Inc,Equity Real Estate Investment Trusts (REITs),601010,49,43.06000137,11335487488
ISU AT Equity,iSelect Ltd,Diversified Consumer Services,253020,1.860000014,1.820000052,425000384
ISD AT Equity,iSentia Group Ltd,Software,451030,3.829999924,3.519999981,704000000
IGL AT Equity,IVE Group Ltd,Media,502010,2.170000076,2.109999895,188171696
JHX AT Equity,James Hardie Industries PLC,Construction Materials,151020,20.31999969,19.62999916,8649157632
JHG AT Equity,Janus Henderson Group PLC,Capital Markets,402030,3.819999933,3.74000001,4233089792
JHC AT Equity,Japara Healthcare Ltd,Health Care Providers & Services,351020,2.039999962,1.879999995,498463168
JBH AT Equity,JB Hi-Fi Ltd,Specialty Retail,255040,28.96999931,28.38999939,3246751232
KSC AT Equity,K&S Corp Ltd,Air Freight & Logistics,203010,1.379999995,1.419999957,172105920
KAM AT Equity,K2 Asset Management Holdings Ltd,Capital Markets,402030,0.370000005,0.354999989,82923640
KAR AT Equity,Karoon Energy Ltd,"Oil, Gas & Consumable Fuels",101020,1.330000043,2.299999952,563359296
KLS AT Equity,Kelsian Group Ltd,Road & Rail,203040,4.440000057,4.269999981,431928032
KMD AT Equity,KMD Brands Ltd,Specialty Retail,255040,1.929999948,1.889999986,380805888
LLC AT Equity,Lendlease Corp Ltd,Real Estate Management & Development,601020,14.03999996,13.52000046,7882017280
LHC AT Equity,LifeHealthcare Group Ltd,Health Care Providers & Services,351020,1.929999948,2.099999905,89329064
LIC AT Equity,Lifestyle Communities Ltd,Real Estate Management & Development,601020,3.430000067,3.680000067,383744768
LAU AT Equity,Lindsay Australia Ltd,Road & Rail,203040,0.455000013,0.417499989,121467792
LNK AT Equity,Link Administration Holdings Ltd,IT Services,451020,8.260000229,7.199999809,2590540800
LNG AT Equity,Liquefied Natural Gas Ltd,"Oil, Gas & Consumable Fuels",101020,0.63499999,0.560000002,286138336
LOV AT Equity,Lovisa Holdings Ltd,Specialty Retail,255040,3.50999999,3.390000105,355950016
LYC AT Equity,Lynas Rare Earths Ltd,Metals & Mining,151040,0.055,0.056000002,195352560
