yearmonth,ticker,ret,rmrf,smb,hml,rmw,cma,wml,pmc,ticker_encode,date,winsor_ret,winsor_rmrf,winsor_smb,winsor_hml,winsor_rmw,winsor_cma,winsor_wml,winsor_pmc,_Nobs,_R2,_adjR2,_b_winsor_rmrf,_b_winsor_smb,_b_winsor_hml,_b_winsor_rmw,_b_winsor_cma,_b_winsor_wml,_b_winsor_pmc,_b_cons,_fitted,_residuals
201403,A1M,.057692371,-.024336265,-.032043464,-.022922784,-.019138671,-.013025875,-.050284829,-.018949905,A1M,2014m3,.057692371,-.024336265,-.032043464,-.022922784,-.019138671,-.013025875,-.050284829,-.018949905,36,.5191202922395312,.398900365299414,.1900341524697118,2.673468332790935,1.049513944128127,-.9479157435519108,-7.34813582238084,2.291058518071304,-1.061340565923662,-.0094450221200601,-.105030147067073,.1627225183758766
201203,A1M,-.44318184,.52080661,.046558738,.038552277,.063299522,.065795042,.095637299,-.74268049,A1M,2012m3,-.27699536,.10395271,.046558738,.038552277,.063299522,.065795042,.095637299,-.090401106,32,.284278176344591,.07552597777843,1.067039071070635,.559540652775584,.5353327928659889,-3.413227369438824,.29757031056457,.9548809648206862,1.829886667806808,.1094618310328132,-.0035053085281638,-.2734900523231241
201001,A1M,-.10344829,-.097112544,.052239176,.006533416,.017909519,.02374858,-.020547749,.0062120631,A1M,2010m1,-.10344829,-.097112544,.052239176,.006533416,.017909519,.02374858,-.020547749,.0062120631,,,,,,,,,,,,,
201107,A1M,.25352114,-.0762114,-.0073728771,-.030019481,-.03972517,-.026294066,.023214744,-.0059581473,A1M,2011m7,.25352114,-.0762114,-.0073728771,-.030019481,-.03972517,-.026294066,.023214744,-.0059581473,24,.2372112713483343,-.0965087974367695,1.818480352709661,.8221581216540708,.0768203957546916,-3.038319786788579,1.328667068158021,1.315442057555747,.9493080619820251,.150080122196557,.113766652245534,.1397544921445723
201102,A1M,.22898543,-.028793879,-.020489579,-.066091351,.0016765917,-.029961469,-.012287119,.001293064,A1M,2011m2,.22898543,-.028793879,-.020489579,-.066091351,.0016765917,-.029961469,-.012287119,.001293064,19,.1727252634629465,-.3537222961515423,.7471920037333648,-2.954943797690336,-.8671967354940695,-.0502833874297854,2.58720807558385,1.614933303693843,-.4797901458306413,.1286624563688533,.1269435228797171,.1020419059304026
201309,A1M,-.053571481,-.0030334415,-.03513876,-.057917133,-.037541542,-.033697091,-.024182072,-.022158053,A1M,2013m9,-.053571481,-.0030334415,-.03513876,-.057917133,-.037541542,-.033697091,-.024182072,-.022158053,36,.4951788045478275,.3689735056847844,.2817269837263323,3.493303904125438,.6473257107163998,-2.46139815140653,-6.606472625049442,2.985939431143193,-1.290459110270938,-.0099677916865249,.1003474411860484,-.1539189224437254
201410,A1M,-.1964286,.010746085,-.050649039,-.025700124,.015450676,.0046162866,.017637433,.0071198721,A1M,2014m10,-.1964286,.010746085,-.050649039,-.025700124,.015450676,.0046162866,.017637433,.0071198721,36,.5122883186396,.3903603982995,-.5550836533140371,1.987549647803785,1.387814152437615,1.358818475465016,-7.350440587984515,.8683290259210907,-1.611387868340452,-.0024675309554314,-.1538618400367633,-.0425667569366559
201212,A1M,-.30000004,.017127078,.022406761,.013064667,.010754257,.0097497301,-.0071263099,.046999723,A1M,2012m12,-.27699536,.017127078,.022406761,.013064667,.010754257,.0097497301,-.0071263099,.046999723,36,.3898402956056438,.2373003695070546,-.484211651216673,3.053905305151094,1.032617249155024,-5.208141388176999,-2.715550737193151,1.068900316536465,-2.234205641893277,.0150465786587557,-.1064375626744099,-.1705577981768779
201407,A1M,.14583339,.02718858,.011407335,.03828121,.0047393818,.0060527669,.0076692402,-.0042340332,A1M,2014m7,.14583339,.02718858,.011407335,.03828121,.0047393818,.0060527669,.0076692402,-.0042340332,36,.5844329519068648,.4805411898835811,-.2119852750284061,1.856533906534915,1.106160170097082,1.244559740401782,-8.769936689340682,1.941873777740422,-1.383158759175832,-.0070203394038746,.0243044338053711,.1215289541655533
201205,A1M,-.36046511,-.10453988,.081407823,.11353949,.07893616,.093551226,.12557542,.0065476676,A1M,2012m5,-.27699536,-.10453988,.081407823,.1124947,.07893616,.093551226,.10232159,.0065476676,34,.2892874720926201,.0979417915021716,1.012267753983275,-.2044936304628697,.2254570283558819,-3.278506237891855,1.005777729980002,.6417535102358469,1.18961641884716,.0970877423855668,-.0912657627456726,-.1857295981056153
