ticker_year_month,ticker,industry,year,month,ret,log_scope1,log_scope2,log_total_emissions,log_energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int,logsize,bm,leverage,mom,investa,roe,logppe,beta,volat,salesgr,epsgr,yearmonth,ticker_encode,date,winsor_bm,winsor_leverage,winsor_mom,winsor_investa,winsor_roe,winsor_volat,winsor_salesgr,winsor_epsgr,_b_log_scope1,_b_log_scope2,_b_log_total_emissions,_b_log_energy_consumption,_b_change_scope1,_b_change_scope2,_b_change_total_emissions,_b_change_energy_consumption,_b_scope1_int,_b_scope2_int,_b_total_emissions_int,_b_energy_consumption_int
HSO_2018_11,HSO,45,2018,11,.07109005,9.5369787,11.46281042353838,21.049973,13.483652,1524,890,152400890,47216,5.9223342,40.632263,592274.06,306.55716,22.069973,.61007959,.39324504,.0091955792,-.080340825,.050700001,21.52791,.99000001,.17034078,.0057432852,-.36283186,201811,HSO,2018m11,.61007959,.39324504,.0091955792,-.080340825,.050700001,.17034078,.0057432852,-.36283186,.0010804573989493,-.0353846856278754,-.0052810361839152,.0002726927902363,-2.19066751026e-07,-2.19652533795e-07,-1.86660650746e-13,-2.57094904351e-08,3.01212111605e-06,.0000544312767162,4.95739513253e-11,6.79985160407e-06
BLD_2018_11,BLD,30,2018,11,-.090914607,14.292375,12.82784733985015,28.107885,16.349707,6589,-262,6588999738,288170,277.92413,64.252495,277924192,2174.7737,22.758667,.74860287,.26569089,-.017412782,-.044719934,.081600003,21.746471,1.1276,.19792899,.2448615,2.8220694,201811,BLD,2018m11,.74860287,.26569089,-.017412782,-.044719934,.081600003,.19792899,.2448615,2.8220694,.0010804573989493,-.0353846856278754,-.0052810361839152,.0002726927902363,-2.19066751026e-07,-2.19652533795e-07,-1.86660650746e-13,-2.57094904351e-08,3.01212111605e-06,.0000544312767162,4.95739513253e-11,6.79985160407e-06
EVT_2018_11,EVT,115,2018,11,.01490313,9.3344145,11.73621300591743,23.149937,13.544458,-528,-7737,-528007737,-39007,8.7818308,96.977905,8781927,591.53979,21.488689,.5063467,.21812469,.0016468095,-.099816307,.1198,21.002348,.1397,.050854824,-.0019767436,.016886931,201811,EVT,2018m11,.5063467,.21812469,.0016468095,-.099816307,.1198,.050854824,-.0019767436,.016886931,.0010804573989493,-.0353846856278754,-.0052810361839152,.0002726927902363,-2.19066751026e-07,-2.19652533795e-07,-1.86660650746e-13,-2.57094904351e-08,3.01212111605e-06,.0000544312767162,4.95739513253e-11,6.79985160407e-06
AHY_2018_11,AHY,48,2018,11,-.071428575,10.594733,11.78787937697017,24.410246,14.007119,2067,2230,2067002230,51694,97.542145,321.63937,97542464,2959.189,20.024014,.3313264,.49430609,-.043075956,-.032548752,.2317,18.746843,-.14,.22934492,-.5277161,-46.953846,201811,AHY,2018m11,.3313264,.49430609,-.043075956,-.032548752,.2317,.22934492,-.5277161,-46.953846,.0010804573989493,-.0353846856278754,-.0052810361839152,.0002726927902363,-2.19066751026e-07,-2.19652533795e-07,-1.86660650746e-13,-2.57094904351e-08,3.01212111605e-06,.0000544312767162,4.95739513253e-11,6.79985160407e-06
BKW_2018_11,BKW,30,2018,11,-.030860534,12.418382,11.43663819679811,23.931311,15.468045,3417,-5670,341694330,67448,300.54626,112.60185,30054740,6344.0024,21.568182,.88972169,.1127268,.015453337,-.015118236,.0986,20.050888,.45480001,.049545497,-.008390924,-.45744029,201811,BKW,2018m11,.88972169,.1127268,.015453337,-.015118236,.0986,.049545497,-.008390924,-.45744029,.0010804573989493,-.0353846856278754,-.0052810361839152,.0002726927902363,-2.19066751026e-07,-2.19652533795e-07,-1.86660650746e-13,-2.57094904351e-08,3.01212111605e-06,.0000544312767162,4.95739513253e-11,6.79985160407e-06
CSL_2018_12,CSL,95,2018,12,.043742955,9.7776976,11.25197619892012,21.290667,13.297951,1410,6611,141006611,50860,1.6467812,7.1929493,164685.31,55.649647,25.190798,.063346349,.40710011,.021031195,-.092124924,.4316,22.292931,.78710002,.21207656,.02038135,.73055738,201812,CSL,2018m12,.072986394,.40710011,.021031195,-.092124924,.4316,.21207656,.02038135,.73055738,.0072182461653041,-.0114618792762591,-.0015862361564558,.0002486254838338,-3.21414072377e-07,-1.16054714019e-06,3.76715835091e-15,-1.44336985044e-08,3.68372598683e-06,.0000602980077578,2.30560302018e-11,3.12000752276e-06
GRR_2018_12,GRR,122,2018,12,.081097938,12.225606,10.39120830258702,23.738533,15.244526,40064,9576,4006409576,810159,543.04529,86.729614,54304616,11115.687,19.259951,2.0643482,.01271247,-.00095315423,-.14800161,.23720001,19.416327,1.8324,.22072087,.54878819,26.197346,201812,GRR,2018m12,2.0643482,.01271247,-.00095315423,-.14800161,.23720001,.22072087,.54878819,26.197346,.0072182461653041,-.0114618792762591,-.0015862361564558,.0002486254838338,-3.21414072377e-07,-1.16054714019e-06,3.76715835091e-15,-1.44336985044e-08,3.68372598683e-06,.0000602980077578,2.30560302018e-11,3.12000752276e-06
EVT_2018_12,EVT,115,2018,12,-.0014684288,9.3344145,11.73621300591743,23.149937,13.544458,-528,-7737,-528007737,-39007,8.7818308,96.977905,8781927,591.53979,21.488689,.5063467,.21812469,.0064441264,-.099816307,.1198,21.002348,.1397,.049925335,-.001976057,.016911766,201812,EVT,2018m12,.5063467,.21812469,.0064441264,-.099816307,.1198,.049925335,-.001976057,.016911766,.0072182461653041,-.0114618792762591,-.0015862361564558,.0002486254838338,-3.21414072377e-07,-1.16054714019e-06,3.76715835091e-15,-1.44336985044e-08,3.68372598683e-06,.0000602980077578,2.30560302018e-11,3.12000752276e-06
BSL_2018_12,BSL,56,2018,12,-.024042742,15.680524,13.79987190926368,29.496035,18.151854,89299,-49403,-57211190049403,985032,543.00183,82.802727,543001920,6428.1475,22.968122,.72969067,.080578171,-.010420846,-.037498858,.12989999,22.121809,.66289997,.75301713,.16623293,14.279197,201812,BSL,2018m12,.72969067,.080578171,-.010420846,-.037498858,.12989999,.75301713,.16623293,14.279197,.0072182461653041,-.0114618792762591,-.0015862361564558,.0002486254838338,-3.21414072377e-07,-1.16054714019e-06,3.76715835091e-15,-1.44336985044e-08,3.68372598683e-06,.0000602980077578,2.30560302018e-11,3.12000752276e-06
BLD_2018_12,BLD,30,2018,12,-.031356327,14.292375,12.82784733985015,28.107885,16.349707,6589,-262,6588999738,288170,277.92413,64.252495,277924192,2174.7737,22.758667,.74860287,.26569089,-.029301599,-.044719934,.081600003,21.746471,1.1276,.19822335,.25279254,2.9134238,201812,BLD,2018m12,.74860287,.26569089,-.029301599,-.044719934,.081600003,.19822335,.25279254,2.9134238,.0072182461653041,-.0114618792762591,-.0015862361564558,.0002486254838338,-3.21414072377e-07,-1.16054714019e-06,3.76715835091e-15,-1.44336985044e-08,3.68372598683e-06,.0000602980077578,2.30560302018e-11,3.12000752276e-06
CAA_2018_12,CAA,93,2018,12,-.07692308,9.3871469,10.56578885292497,20.900105,12.912849,,,,,26.154247,85.000206,2615509.8,888.65924,17.869637,2.2820966,.00074193423,-.0035761483,-.045894556,.048999999,17.620638,.76709998,.072306171,.095627278,-.33333334,201812,CAA,2018m12,2.2820966,.002030686,-.0035761483,-.045894556,.048999999,.072306171,.095627278,-.33333334,.0072182461653041,-.0114618792762591,-.0015862361564558,.0002486254838338,,,,,3.68372598683e-06,.0000602980077578,2.30560302018e-11,3.12000752276e-06
