ticker_year_month,ticker,year-month,year,industry,month,ret,MKT-RF,SMB,HML,WML,pmc
LAU_2011_12,LAU,201112.0,2011,131.0,12,-0.0344827586206895,-1.04,-1.67,1.2,-0.11,0.0007044355590282
ABY1_2012_01,ABY1,201201.0,2012,54.0,1,0.2898550724637683,9.86,-2.27,0.69,-5.38,0.0066624220454007
AEJ_2012_01,AEJ,201201.0,2012,169.0,1,-0.0666666666666667,9.86,-2.27,0.69,-5.38,0.0066624220454007
AGL_2012_01,AGL,201201.0,2012,91.0,1,0.0181437963561961,9.86,-2.27,0.69,-5.38,0.0066624220454007
AHG_2012_01,AHG,201201.0,2012,90.0,1,0.1271676300578035,9.86,-2.27,0.69,-5.38,0.0066624220454007
AIO_2012_01,AIO,201201.0,2012,81.0,1,0.0444444444444445,9.86,-2.27,0.69,-5.38,0.0066624220454007
AMP_2012_01,AMP,201201.0,2012,104.0,1,0.0491400491400488,9.86,-2.27,0.69,-5.38,0.0066624220454007
BKN_2012_01,BKN,201201.0,2012,43.0,1,0.1008403361344538,9.86,-2.27,0.69,-5.38,0.0066624220454007
BKW_2012_01,BKW,201201.0,2012,30.0,1,-0.0119815668202764,9.86,-2.27,0.69,-5.38,0.0066624220454007
BLD_2012_01,BLD,201201.0,2012,30.0,1,0.1222171509711445,9.86,-2.27,0.69,-5.38,0.0066624220454007
CCL_2012_01,CCL,201201.0,2012,114.0,1,0.0034752389226759,9.86,-2.27,0.69,-5.38,0.0066624220454007
CSL_2012_01,CSL,201201.0,2012,95.0,1,-0.0271875,9.86,-2.27,0.69,-5.38,0.0066624220454007
CSR_2012_01,CSR,201201.0,2012,30.0,1,0.0459183673469387,9.86,-2.27,0.69,-5.38,0.0066624220454007
DOW_2012_01,DOW,201201.0,2012,216.0,1,0.1281419751003745,9.86,-2.27,0.69,-5.38,0.0066624220454007
ELD_2012_01,ELD,201201.0,2012,35.0,1,-0.0769157859817071,9.86,-2.27,0.69,-5.38,0.0066624220454007
ENV1_2012_01,ENV1,201201.0,2012,31.0,1,0.0563380281690142,9.86,-2.27,0.69,-5.38,0.0066624220454007
EPW_2012_01,EPW,201201.0,2012,91.0,1,-0.0193548387096774,9.86,-2.27,0.69,-5.38,0.0066624220454007
EVN_2012_01,EVN,201201.0,2012,119.0,1,0.2133362388319895,9.86,-2.27,0.69,-5.38,0.0066624220454007
FMG_2012_01,FMG,201201.0,2012,56.0,1,0.1826697892271662,9.86,-2.27,0.69,-5.38,0.0066624220454007
FXJ_2012_01,FXJ,201201.0,2012,84.0,1,0.0434782608695651,9.86,-2.27,0.69,-5.38,0.0066624220454007
GFF_2012_01,GFF,201201.0,2012,71.0,1,0.2093023255813955,9.86,-2.27,0.69,-5.38,0.0066624220454007
GNC_2012_01,GNC,201201.0,2012,35.0,1,-0.0012668797328034,9.86,-2.27,0.69,-5.38,0.0066624220454007
HVN_2012_01,HVN,201201.0,2012,87.0,1,0.1225998739038229,9.86,-2.27,0.69,-5.38,0.0066624220454007
ILU_2012_01,ILU,201201.0,2012,122.0,1,0.1819354031046569,9.86,-2.27,0.69,-5.38,0.0066624220454007
IPL_2012_01,IPL,201201.0,2012,92.0,1,0.0321543408360129,9.86,-2.27,0.69,-5.38,0.0066624220454007
LAU_2012_01,LAU,201201.0,2012,131.0,1,0.0714285714285714,9.86,-2.27,0.69,-5.38,0.0066624220454007
ABY1_2012_02,ABY1,201202.0,2012,54.0,2,-0.1011235955056178,5.28,2.99,0.8,-4.2,-0.0034247148537865
AEJ_2012_02,AEJ,201202.0,2012,169.0,2,-0.1964285714285714,5.28,2.99,0.8,-4.2,-0.0034247148537865
AGL_2012_02,AGL,201202.0,2012,91.0,2,-0.0438640561507203,5.28,2.99,0.8,-4.2,-0.0034247148537865
AHG_2012_02,AHG,201202.0,2012,90.0,2,0.2051282051282053,5.28,2.99,0.8,-4.2,-0.0034247148537865
AIO_2012_02,AIO,201202.0,2012,81.0,2,0.053191489361702,5.28,2.99,0.8,-4.2,-0.0034247148537865
AMP_2012_02,AMP,201202.0,2012,104.0,2,-0.0608899297423887,5.28,2.99,0.8,-4.2,-0.0034247148537865
BKN_2012_02,BKN,201202.0,2012,43.0,2,0.0610687022900762,5.28,2.99,0.8,-4.2,-0.0034247148537865
BKW_2012_02,BKW,201202.0,2012,30.0,2,-0.0130597014925373,5.28,2.99,0.8,-4.2,-0.0034247148537865
BLD_2012_02,BLD,201202.0,2012,30.0,2,0.0890686429572056,5.28,2.99,0.8,-4.2,-0.0034247148537865
CCL_2012_02,CCL,201202.0,2012,114.0,2,0.0389610389610388,5.28,2.99,0.8,-4.2,-0.0034247148537865
CSL_2012_02,CSL,201202.0,2012,95.0,2,0.0530035335689047,5.28,2.99,0.8,-4.2,-0.0034247148537865
CSR_2012_02,CSR,201202.0,2012,30.0,2,-0.0682926829268292,5.28,2.99,0.8,-4.2,-0.0034247148537865
DOW_2012_02,DOW,201202.0,2012,216.0,2,0.0941771091904177,5.28,2.99,0.8,-4.2,-0.0034247148537865
ELD_2012_02,ELD,201202.0,2012,35.0,2,-0.0208440291611048,5.28,2.99,0.8,-4.2,-0.0034247148537865
ENV1_2012_02,ENV1,201202.0,2012,31.0,2,0.0666666666666666,5.28,2.99,0.8,-4.2,-0.0034247148537865
EPW_2012_02,EPW,201202.0,2012,91.0,2,0.0592105263157896,5.28,2.99,0.8,-4.2,-0.0034247148537865
EVN_2012_02,EVN,201202.0,2012,119.0,2,0.1043462643678161,5.28,2.99,0.8,-4.2,-0.0034247148537865
FMG_2012_02,FMG,201202.0,2012,56.0,2,0.102970297029703,5.28,2.99,0.8,-4.2,-0.0034247148537865
FXJ_2012_02,FXJ,201202.0,2012,84.0,2,0.0625,5.28,2.99,0.8,-4.2,-0.0034247148537865
GFF_2012_02,GFF,201202.0,2012,71.0,2,0.2692307692307691,5.28,2.99,0.8,-4.2,-0.0034247148537865
GNC_2012_02,GNC,201202.0,2012,35.0,2,0.0102055525124686,5.28,2.99,0.8,-4.2,-0.0034247148537865
HVN_2012_02,HVN,201202.0,2012,87.0,2,0.0048504033493312,5.28,2.99,0.8,-4.2,-0.0034247148537865
ILU_2012_02,ILU,201202.0,2012,122.0,2,-0.0884306186648024,5.28,2.99,0.8,-4.2,-0.0034247148537865
IPL_2012_02,IPL,201202.0,2012,92.0,2,0.0155763239875388,5.28,2.99,0.8,-4.2,-0.0034247148537865
LAU_2012_02,LAU,201202.0,2012,131.0,2,0.1,5.28,2.99,0.8,-4.2,-0.0034247148537865
ABY1_2012_03,ABY1,201203.0,2012,54.0,3,-0.1125,-2.16,0.65,-0.12,5.37,-0.0057364468273968
AEJ_2012_03,AEJ,201203.0,2012,169.0,3,0.8844444444444446,-2.16,0.65,-0.12,5.37,-0.0057364468273968
AGL_2012_03,AGL,201203.0,2012,91.0,3,0.0573435435389027,-2.16,0.65,-0.12,5.37,-0.0057364468273968
AHG_2012_03,AHG,201203.0,2012,90.0,3,0.0127659574468084,-2.16,0.65,-0.12,5.37,-0.0057364468273968
AIO_2012_03,AIO,201203.0,2012,81.0,3,-0.01010101010101,-2.16,0.65,-0.12,5.37,-0.0057364468273968
AMP_2012_03,AMP,201203.0,2012,104.0,3,0.0773067331670824,-2.16,0.65,-0.12,5.37,-0.0057364468273968
BKN_2012_03,BKN,201203.0,2012,43.0,3,0.0287769784172662,-2.16,0.65,-0.12,5.37,-0.0057364468273968
BKW_2012_03,BKW,201203.0,2012,30.0,3,0.0189035916824196,-2.16,0.65,-0.12,5.37,-0.0057364468273968
BLD_2012_03,BLD,201203.0,2012,30.0,3,-0.0840663900414938,-2.16,0.65,-0.12,5.37,-0.0057364468273968
CCL_2012_03,CCL,201203.0,2012,114.0,3,0.0391666666666667,-2.16,0.65,-0.12,5.37,-0.0057364468273968
CSR_2012_03,CSR,201203.0,2012,30.0,3,-0.0575916230366491,-2.16,0.65,-0.12,5.37,-0.0057364468273968
DOW_2012_03,DOW,201203.0,2012,216.0,3,0.0177116929973213,-2.16,0.65,-0.12,5.37,-0.0057364468273968
ELD_2012_03,ELD,201203.0,2012,35.0,3,-0.0212877516778523,-2.16,0.65,-0.12,5.37,-0.0057364468273968
ENV1_2012_03,ENV1,201203.0,2012,31.0,3,-0.0374999999999999,-2.16,0.65,-0.12,5.37,-0.0057364468273968
EPW_2012_03,EPW,201203.0,2012,91.0,3,0.1801242236024842,-2.16,0.65,-0.12,5.37,-0.0057364468273968
EVN_2012_03,EVN,201203.0,2012,119.0,3,-0.1318371550929691,-2.16,0.65,-0.12,5.37,-0.0057364468273968
FMG_2012_03,FMG,201203.0,2012,56.0,3,0.0430879712746856,-2.16,0.65,-0.12,5.37,-0.0057364468273968
FXJ_2012_03,FXJ,201203.0,2012,84.0,3,-0.0784313725490196,-2.16,0.65,-0.12,5.37,-0.0057364468273968
GFF_2012_03,GFF,201203.0,2012,71.0,3,0.0454545454545454,-2.16,0.65,-0.12,5.37,-0.0057364468273968
GNC_2012_03,GNC,201203.0,2012,35.0,3,0.1426614537256354,-2.16,0.65,-0.12,5.37,-0.0057364468273968
HVN_2012_03,HVN,201203.0,2012,87.0,3,-0.0289619429907016,-2.16,0.65,-0.12,5.37,-0.0057364468273968
ILU_2012_03,ILU,201203.0,2012,122.0,3,0.0652653839003531,-2.16,0.65,-0.12,5.37,-0.0057364468273968
IPL_2012_03,IPL,201203.0,2012,92.0,3,-0.0337423312883434,-2.16,0.65,-0.12,5.37,-0.0057364468273968
LAU_2012_03,LAU,201203.0,2012,131.0,3,0.0303030303030302,-2.16,0.65,-0.12,5.37,-0.0057364468273968
ABY1_2012_04,ABY1,201204.0,2012,54.0,4,-0.084507042253521,1.16,-1.98,1.32,1.94,-0.0010904212709586
AEJ_2012_04,AEJ,201204.0,2012,169.0,4,0.0400943396226414,1.16,-1.98,1.32,1.94,-0.0010904212709586
AGL_2012_04,AGL,201204.0,2012,91.0,4,0.0155955391203941,1.16,-1.98,1.32,1.94,-0.0010904212709586
AHG_2012_04,AHG,201204.0,2012,90.0,4,0.0588235294117647,1.16,-1.98,1.32,1.94,-0.0010904212709586
AIO_2012_04,AIO,201204.0,2012,81.0,4,-0.0346938775510203,1.16,-1.98,1.32,1.94,-0.0010904212709586
AMP_2012_04,AMP,201204.0,2012,104.0,4,-0.0115740740740742,1.16,-1.98,1.32,1.94,-0.0010904212709586
BKN_2012_04,BKN,201204.0,2012,43.0,4,-0.1363636363636363,1.16,-1.98,1.32,1.94,-0.0010904212709586
BKW_2012_04,BKW,201204.0,2012,30.0,4,-0.0352504638218923,1.16,-1.98,1.32,1.94,-0.0010904212709586
BLD_2012_04,BLD,201204.0,2012,30.0,4,-0.0620639666576062,1.16,-1.98,1.32,1.94,-0.0010904212709586
