ticker_year_month,ticker,year-month,year,month,ret,MKT-RF,SMB,HML,WML,pmc
CCL_2012_02,CCL,201202.0,2012,2,0.0389610389610388,5.28,2.99,0.8,-4.2,0.0135574601375966
CSL_2012_02,CSL,201202.0,2012,2,0.0530035335689047,5.28,2.99,0.8,-4.2,0.0135574601375966
CSR_2012_02,CSR,201202.0,2012,2,-0.0682926829268292,5.28,2.99,0.8,-4.2,0.0135574601375966
DOW_2012_02,DOW,201202.0,2012,2,0.0941771091904177,5.28,2.99,0.8,-4.2,0.0135574601375966
ELD_2012_02,ELD,201202.0,2012,2,-0.0208440291611048,5.28,2.99,0.8,-4.2,0.0135574601375966
ENV1_2012_02,ENV1,201202.0,2012,2,0.0666666666666666,5.28,2.99,0.8,-4.2,0.0135574601375966
EPW_2012_02,EPW,201202.0,2012,2,0.0592105263157896,5.28,2.99,0.8,-4.2,0.0135574601375966
EVN_2012_02,EVN,201202.0,2012,2,0.1043462643678161,5.28,2.99,0.8,-4.2,0.0135574601375966
FMG_2012_02,FMG,201202.0,2012,2,0.102970297029703,5.28,2.99,0.8,-4.2,0.0135574601375966
FXJ_2012_02,FXJ,201202.0,2012,2,0.0625,5.28,2.99,0.8,-4.2,0.0135574601375966
GFF_2012_02,GFF,201202.0,2012,2,0.2692307692307691,5.28,2.99,0.8,-4.2,0.0135574601375966
GNC_2012_02,GNC,201202.0,2012,2,0.0102055525124686,5.28,2.99,0.8,-4.2,0.0135574601375966
HVN_2012_02,HVN,201202.0,2012,2,0.0048504033493312,5.28,2.99,0.8,-4.2,0.0135574601375966
ILU_2012_02,ILU,201202.0,2012,2,-0.0884306186648024,5.28,2.99,0.8,-4.2,0.0135574601375966
IPL_2012_02,IPL,201202.0,2012,2,0.0155763239875388,5.28,2.99,0.8,-4.2,0.0135574601375966
LAU_2012_02,LAU,201202.0,2012,2,0.1,5.28,2.99,0.8,-4.2,0.0135574601375966
ABY1_2012_03,ABY1,201203.0,2012,3,-0.1125,-2.16,0.65,-0.12,5.37,0.0002543009053857
AEJ_2012_03,AEJ,201203.0,2012,3,0.8844444444444446,-2.16,0.65,-0.12,5.37,0.0002543009053857
AGL_2012_03,AGL,201203.0,2012,3,0.0573435435389027,-2.16,0.65,-0.12,5.37,0.0002543009053857
AHG_2012_03,AHG,201203.0,2012,3,0.0127659574468084,-2.16,0.65,-0.12,5.37,0.0002543009053857
