,year,nger_name,scope1,scope2,energy_consumption,total_emissions
160,2009,owens-illinois (australia),516956.0,324944.0,8271308.0,841900.0
161,2009,oz minerals,316355.0,516987.0,7002359.0,833342.0
162,2009,ozgen  australia,10408622.0,50990.0,114198398.0,10459612.0
163,2009,paperlinx,576124.0,283250.0,17903163.0,859374.0
164,2009,peabody energy australia,2388636.0,174231.0,2741213.0,2562867.0
165,2009,pechiney consolidated australia,992708.0,6853651.0,36492069.0,7846359.0
166,2009,penrice soda,308055.0,224150.0,4104392.0,532205.0
167,2009,pmp,24457.0,104867.0,806125.0,129324.0
168,2009,power and water,1060894.0,95457.0,19203602.0,1156351.0
169,2009,pratt consolidated  .,311457.0,879085.0,13655412.0,1190542.0
170,2009,qantas airways,4007170.0,229313.0,58563182.0,4236483.0
171,2009,qenos,795872.0,323917.0,35787772.0,1119789.0
172,2009,qmag,229584.0,78034.0,1592682.0,307618.0
173,2009,qr,719326.0,700294.0,13055947.0,1419620.0
174,2009,queensland alumina,3835786.0,703021.0,50048084.0,4538807.0
175,2009,queensland electricity transmission,8607.0,1649464.0,6567572.0,1658071.0
176,2009,queensland nitrates,544806.0,25633.0,3037398.0,570439.0
177,2009,rail  new south wales,85128.0,617508.0,3673271.0,702636.0
178,2009,ramsay health care,14608.0,147583.0,839292.0,162191.0
179,2009,resolute mining,22735.0,110832.0,771067.0,133567.0
180,2009,rio doce australia,1429939.0,94255.0,2046151.0,1524194.0
181,2009,rio tinto,7662229.0,9401386.0,126386064.0,17063615.0
182,2009,roc oil company,277125.0,0.0,1169160.0,277125.0
183,2009,salvage,8145.0,130783.0,603130.0,138928.0
184,2009,santos,3370189.0,42708.0,33141054.0,3412897.0
185,2009,sca tissue australia,53061.0,176750.0,1551155.0,229811.0
186,2009,sembsita australia .,385700.0,16645.0,619059.0,402345.0
187,2009,shell australia,1439589.0,458902.0,298311340.0,1898491.0
188,2009,silicon metal company of australia,37127.0,319566.0,3804566.0,356693.0
189,2009,silk logistics,137546.0,5550.0,2021122.0,143096.0
190,2009,singtel optus,4603.0,273244.0,1078156.0,277847.0
191,2009,snowy hydro,182702.0,697803.0,17333438.0,880505.0
