ticker_year_month,ticker,yearmonth,year,industry,month,ret,mktrf,smb,hml,wml,pmc,winsor_ret,winsor_mktrf,winsor_smb,winsor_hml,winsor_wml,winsor_pmc,ticker_encode,date,_Nobs,_R2,_adjR2,_b_winsor_mktrf,_b_winsor_smb,_b_winsor_hml,_b_winsor_wml,_b_winsor_pmc,_b_cons
ABY1_2010_10,ABY1,201010,2010,54,10,.043103449,3.7,1.4400001,-2.3199999,1.3200001,.017073043,.043103449,3.7,1.4400001,-2.3199999,1.3200001,.017073043,ABY1,2010m10,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2011_10,ABY1,201110,2011,54,10,.12643678,13.98,-2.74,-.88999999,-1.1,-.0039271656,.12643678,12.84,-2.74,-.88999999,-1.1,-.0039271656,ABY1,2011m10,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2010_12,ABY1,201012,2010,54,12,.13559322,6.7600002,2.45,-2.8199999,.20999999,-.0015556527,.13559322,6.7600002,2.45,-2.8199999,.20999999,-.0015556527,ABY1,2010m12,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2011_03,ABY1,201103,2011,54,3,.11278196,2.0799999,-.75999999,-1.6799999,.31,-.0088117188,.11278196,2.0799999,-.75999999,-1.6799999,.31,-.0088117188,ABY1,2011m3,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2010_11,ABY1,201011,2010,54,11,-.024793388,-1.15,1.08,.66000003,5.1399999,-.0061197621,-.024793388,-1.15,1.08,.66000003,5.1399999,-.0061197621,ABY1,2010m11,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2010_03,ABY1,201003,2010,54,3,.15789473,7.6500001,-.41999999,1.21,1.67,.0051597948,.15789473,7.6500001,-.41999999,1.21,1.67,.0051597948,ABY1,2010m3,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2012_06,ABY1,201206,2012,54,6,-.12962963,4.4699998,-3.0799999,1.26,3.9400001,.008101685,-.12962963,4.4699998,-3.0799999,1.26,3.9400001,.008101685,ABY1,2012m6,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2010_06,ABY1,201006,2010,54,6,-.13333334,-.2,-1.05,1.3,-1.91,.0050355229,-.13333334,-.2,-1.05,1.3,-1.91,.0050355229,ABY1,2010m6,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2012_05,ABY1,201205,2012,54,5,-.16923077,-11.42,.63,3.6199999,4.7399998,-.0052795238,-.16923077,-11.42,.63,3.6199999,4.7399998,-.0052795238,ABY1,2012m5,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2010_02,ABY1,201002,2010,54,2,-.086538464,2.6300001,-2.0799999,1.5700001,1,.0052478383,-.086538464,2.6300001,-2.0799999,1.5700001,1,.0052478383,ABY1,2010m2,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2010_05,ABY1,201005,2010,54,5,-.30555555,-12.22,-3.0599999,1.5599999,-3.97,-.021831559,-.23063533,-12.22,-3.0599999,1.5599999,-3.97,-.021831559,ABY1,2010m5,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2011_06,ABY1,201106,2011,54,6,-.14124294,-2.3199999,-1.98,-.059999999,.15000001,-.0052234316,-.14124294,-2.3199999,-1.98,-.059999999,.15000001,-.0052234316,ABY1,2011m6,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2012_07,ABY1,201207,2012,54,7,-.12765957,4.7600002,-3.5899999,1.48,3.9100001,-.0099022333,-.12765957,4.7600002,-3.5899999,1.48,3.9100001,-.0099022333,ABY1,2012m7,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2011_04,ABY1,201104,2011,54,4,.21621622,4.77,-.61000001,-.52999997,2.1199999,-.0015787306,.21621622,4.77,-.61000001,-.52999997,2.1199999,-.0015787306,ABY1,2011m4,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2010_09,ABY1,201009,2010,54,9,.31818181,12.84,1.64,-.80000001,-1.23,.0070415405,.25617579,12.84,1.64,-.80000001,-1.23,.0070415405,ABY1,2010m9,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2011_05,ABY1,201105,2011,54,5,-.016666668,-2.53,-1.98,2.01,4.3099999,-.010120751,-.016666668,-2.53,-1.98,2.01,4.3099999,-.010120751,ABY1,2011m5,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2012_03,ABY1,201203,2012,54,3,-.1125,-2.1600001,.64999998,-.12,5.3699999,.013148249,-.1125,-2.1600001,.64999998,-.12,5.3699999,.013148249,ABY1,2012m3,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
ABY1_2010_08,ABY1,201008,2010,54,8,-.011235955,-.79000002,-.07,.47,3.4200001,.0064950627,-.011235955,-.79000002,-.07,.47,3.4200001,.0064950627,ABY1,2010m8,29,.6476958578898769,.5711080009094154,.0193916793562537,.0089826898950504,.0032549602725239,-.0006198428144481,-1.836304229217974,-.0380919756292978
