yearmonth,asx500_ret,rf,rmrf
201603,0.0451559352936774,0.01934285714285714,0.025813078150820262
201604,0.0469176662352427,0.01894,0.0279776662352427
201605,0.0261278243839581,0.016545454545454544,0.009582369838503555
201606,-0.0157804589217399,0.016280952380952382,-0.032061411302692286
201607,0.066750795664744,0.015842857142857145,0.05090793852188685
201608,-0.0128102543929132,0.0144,-0.027210254392913198
201609,0.0045553072919925,0.014404545454545455,-0.009849238162552953
201610,-0.0172641145550222,0.014423809523809523,-0.031687924078831725
201611,0.0232839836562371,0.014613636363636362,0.008670347292600739
201612,0.0399900253235987,0.014775,0.025215025323598702
201701,0.0040865292777303,0.01476,-0.0106734707222697
201702,0.012310099809846,0.014715,-0.002404900190154
201703,0.0245124129077244,0.014708695652173913,0.009803717255550487
201704,0.0099879488520386,0.014617647058823529,-0.004629698206784929
