yearmonth,ticker,ret
200904,A1M,-0.1071428603316326
200905,A1M,0.3600000160000001
200906,A1M,-0.014705870415225
200907,A1M,-0.0298508052572942
200908,A1M,-0.0769230059171572
200909,A1M,0.016666649333334
200910,A1M,0.0983606567589356
200911,A1M,-0.3134328402762306
200912,A1M,0.260869508506617
201001,A1M,-0.1034482856123664
201002,A1M,-0.1153845659763295
201003,A1M,0.4782608612476373
201004,A1M,0.1470587688581321
201005,A1M,0.4102564916502331
201006,A1M,-0.0818182109421481
201007,A1M,0.1881188711694936
201008,A1M,0.2999998996666706
201009,A1M,0.628205164381987
201010,A1M,0.3031496029605058
201011,A1M,0.3776435111490404
201012,A1M,-0.1184210458044783
201101,A1M,-0.1417910285661244
201102,A1M,0.2289854240604925
201103,A1M,-0.0330188385679942
201104,A1M,-0.1097560533016051
201105,A1M,0.0410958498780269
201106,A1M,-0.2526315921385043
201107,A1M,0.2535211442967671
201108,A1M,-0.1404494404904683
