,year,nger_name,scope1,scope2,energy_consumption,total_emissions,morningstar_name,match_score,ticker
366,2010,hrl,2474092.0,179180.0,32129829.0,2474092179180.0,hrl,100.0,HRL
372,2010,iluka resources,633799.0,243839.0,8745443.0,633799243839.0,iluka resources,100.0,ILU
386,2010,kagara,41442.0,48708.0,789798.0,4144248708.0,kagara,100.0,KZL
537,2011,aditya birla minerals,89473.0,22166.0,2156212.0,8947322166.0,aditya birla minerals,100.0,ABY1
538,2011,agl energy,1545278.0,51062.0,48878147.0,154527851062.0,agl energy,100.0,AGL
549,2011,amp,11903.0,182787.0,840663.0,11903182787.0,amp,100.0,AMP
554,2011,ardent leisure,1744.0,50447.0,224869.0,174450447.0,ardent leisure,100.0,ALG
557,2011,arrow energy,895391.0,45413.0,17385492.0,89539145413.0,arrow energy,100.0,AOE
558,2011,asciano,986020.0,138340.0,14668557.0,986020138340.0,asciano,100.0,AIO
570,2011,automotive,28236.0,36022.0,558101.0,2823636022.0,automotive,100.0,AHG
578,2011,bega cheese,41891.0,88647.0,1357158.0,4189188647.0,bega cheese,100.0,BGA
588,2011,bluescope steel,11371293.0,1565953.0,239263572.0,113712931565953.0,bluescope steel,100.0,BSL
592,2011,boral,2448146.0,549468.0,,2448146549468.0,boral,100.0,BLD
595,2011,bradken,35844.0,104031.0,1124537.0,35844104031.0,bradken,100.0,BKN
596,2011,brickworks,289588.0,125546.0,6162594.0,289588125546.0,brickworks,100.0,BKW
607,2011,cbh resources,6633.0,61844.0,346135.0,663361844.0,cbh resources,100.0,CBH1
609,2011,centennial coal company,2095478.0,261822.0,1535072.0,2095478261822.0,centennial coal company,100.0,CEY
612,2011,centro properties,2964.0,144582.0,602592.0,2964144582.0,centro properties,100.0,CEP
614,2011,charter hall,4858.0,96374.0,424717.0,485896374.0,charter hall,100.0,CHC
622,2011,coca-cola amatil,52463.0,122591.0,1383391.0,52463122591.0,coca-cola amatil,100.0,CCL
625,2011,commonwealth bank of australia,20736.0,387520.0,1812799.0,20736387520.0,commonwealth bank of australia,100.0,CBA
634,2011,csl,11997.0,63067.0,416833.0,1199763067.0,csl,100.0,CSL
635,2011,csr,510497.0,349813.0,39058202.0,510497349813.0,csr,100.0,CSR
