ticker,yearmonth,mom
ABC,201209,0.005364582359198548
ABC,201210,0.012694980271788234
ABC,201211,0.009864558109970731
ABC,201212,0.00925635914830559
ABC,201301,0.007971388426119505
ABC,201302,0.012876121812686797
ABC,201303,0.01867153911252888
ABC,201304,0.018717076453148185
ABC,201305,0.011111063075656133
ABC,201306,0.012400841282020653
ABC,201307,0.004847369442834519
ABC,201308,-0.00037466219429146036
ABC,201309,0.012316491502959806
ABC,201310,0.018205709795060938
ABC,201311,0.017389400413805434
ABC,201312,0.01582781793739646
ABC,201401,0.014761622553980983
ABC,201402,0.010047813429408914
ABC,201403,0.012228987439491487
ABC,201404,0.011572073171705785
ABC,201405,0.012789603733249213
ABC,201406,0.0029963386011093904
ABC,201407,0.00572532871882354
ABC,201408,0.011302842991989998
ABC,201409,0.007019833973375207
ABC,201410,-0.00941909812668785
ABC,201411,-0.00913838659683113
ABC,201412,-0.006103574187018707
ABC,201501,-6.369121536040079e-05
ABC,201502,-0.002327993848311847
ABC,201503,0.0051478911880946015
ABC,201504,0.013404647139144688
ABC,201505,0.01529882633427678
ABC,201506,0.029204532903168295
ABC,201507,0.021133103572047184
ABC,201508,0.02418128945590341
ABC,201509,0.022809874197717277
ABC,201510,0.02783470165469863
ABC,201511,0.02087548655819706
ABC,201512,0.022122669003171853
ABC,201601,0.026593812299199954
ABC,201602,0.026009508402202574
ABC,201603,0.01359125020636869
ABC,201604,0.010743850980464792
ABC,201605,0.012571465263504444
ABC,201606,0.0183952130026165
ABC,201607,0.022874553201516008
ABC,201608,0.019840677936138678
ABC,201609,0.014410386353090637
ABC,201610,0.02196995415656089
ABC,201611,0.022177085849438855
ABC,201612,0.015611237776218987
ABC,201701,0.01278430685263988
ABC,201702,0.00837766409473221
ABC,201703,0.008570705519150826
ABC,201704,0.011361180097334908
ABC,201705,0.013238651368088957
ABC,201706,-0.00047171639812985483
ABC,201707,0.002649065253807074
ABC,201708,-0.0025857257106444895
ABC,201709,0.008648174247807014
ABC,201710,0.005204419934487475
ABC,201711,0.013494097584222348
ABC,201712,0.019760495364909703
ABC,201801,0.016144979650531115
ABC,201802,0.020519064018599154
ABC,201803,0.017605677638912447
ABC,201804,0.00823573052380902
ABC,201805,0.0076620850065468316
ABC,201806,0.01457534531654626
ABC,201807,0.018157471954040577
ABC,201808,0.01746615999472702
ABC,201809,0.010209063247230551
ABC,201810,0.005685253723421019
ABC,201811,-0.006623444173296661
ABC,201812,-0.016508933527385045
ABC,201901,-0.032578630369312765
ABC,201902,-0.028291994161978584
ABC,201903,-0.024041205074424605
ABC,201904,-0.024033755285998586
ABC,201905,-0.030129384677447923
ABC,201906,-0.03578680629656247
ABC,201907,-0.042295167334928545
ABC,201908,-0.051769370150893584
ABC,201909,-0.05703313312553556
ABC,201910,-0.05474749254314528
ABC,201911,-0.04705079775827605
ABC,201912,-0.028214952533541938
ABC,202001,-0.014762397414320153
ABC,202002,-0.01433033792322532
ABC,202003,-0.034388765699773914
ABC,202004,-0.05567027830481594
ABC,202005,-0.02595208184748904
ABC,202006,-0.022023305978759355
ABC,202007,-0.006510866209664355
ABC,202008,-0.021616622068269087
ABC,202009,0.0017971110912267756
ABC,202010,0.012679781311418411
ABC,202011,0.011275313858633432
