,ticker,morningstar_name,year,capex,eoy_price,eps,ltdebt,marketcap,ppe,revenue,roe,stdebt,assets,liabilities
154,AGF,amp capital china growth fund,2000,,,,,,,,,,,
155,AGG,anglogold ashanti,2000,-548736462.0,54.79,280.13,1310469314.0,5863792377.82,4803249097.0,7370094749.0,0.161,776173285.0,6904332129.0,4231046931.0
156,AGH,althea,2000,,,,,,,,,,,
157,AGH1,australian growth properties,2000,-41998000.0,0.5,3.6,215736000.0,143005424.5,,,0.059000000000000004,,539911000.0,236259000.0
158,AGI,ainsworth game technology,2000,-327104.0,,-2.63,303095.0,,798586.0,,-1.1156,167018.0,3566223.0,850575.0
159,AGJ,agricultural land trust,2000,,,,,,,,,,,
160,AGL,agl energy,2000,,,,,,,,,,,
161,AGL1,australian gas light company (the),2000,-324600000.0,9.95,131.78,1850700000.0,3402809226.15,2614500000.0,2730500000.0,0.1394,200100000.0,5345100000.0,3259200000.0
162,AGM,australian governance and ethical index fund,2000,,,,,,,,,,,
163,AGM1,allegiance mining nl,2000,-4165.0,0.07,-0.99,,13876302.0,28157.0,60231.0,-0.07150000000000001,,6650793.0,40005.0
164,AGN,argenica therapeutics,2000,,,,,,,,,,,
165,AGN2,australian gemstone house,2000,,,,,,,,,,,
166,AGO,atlas iron,2000,,,,,,,,,,,
167,AGP,anglo pacific  plc,2000,-597577.0,0.48,4.14,,41742218.4,3071332.0,16072678.0,-0.0634,2296096.0,80546433.0,5179004.0
168,AGR,aguia resources,2000,,,,,,,,,,,
169,AGS,alliance resources,2000,0.0,0.09,-5.44,,2521458.0,599312.0,390610.0,-0.40159999999999996,20782.0,3446568.0,335311.0
170,AGU,aurium resources,2000,,,,,,,,,,,
171,AGVT,betashares australian government bond etf,2000,,,,,,,,,,,
172,AGX1,antipodes global shares (quoted managed fund),2000,,,,,,,,,,,
173,AGY,argosy minerals,2000,-1645011.0,0.2,-1.31,,18684725.48,34154415.0,,-0.0346,,36804128.0,103213.0
174,AGZ,a.g.d. mining,2000,-210949.0,0.02,-3.48,561574.0,11694691.04,855642.0,364555.0,-0.3059,6674.0,4869468.0,952210.0
