ticker_year_month,ticker,year,ret,month,MKT-RF,SMB,HML,WML,pmc
ILU_2009_11,ILU,2009,0.0257248988190941,11,2.65,1.67,-2.57,1.25,-0.0062080704366464
IPL_2009_11,IPL,2009,0.0714285714285714,11,2.65,1.67,-2.57,1.25,-0.0062080704366464
AGL_2009_12,AGL,2009,0.0158966290734625,12,2.45,-0.41,1.5,0.67,0.0029166505567447
AIO_2009_12,AIO,2009,0.1008064516129032,12,2.45,-0.41,1.5,0.67,0.0029166505567447
AMP_2009_12,AMP,2009,0.0954692556634304,12,2.45,-0.41,1.5,0.67,0.0029166505567447
AOE_2009_12,AOE,2009,0.0666666666666666,12,2.45,-0.41,1.5,0.67,0.0029166505567447
BKN_2009_12,BKN,2009,-0.0394366197183098,12,2.45,-0.41,1.5,0.67,0.0029166505567447
BKW_2009_12,BKW,2009,-0.0095238095238094,12,2.45,-0.41,1.5,0.67,0.0029166505567447
BSL_2009_12,BSL,2009,0.147602762105997,12,2.45,-0.41,1.5,0.67,0.0029166505567447
CCL_2009_12,CCL,2009,0.0877358490566038,12,2.45,-0.41,1.5,0.67,0.0029166505567447
CEY_2009_12,CEY,2009,0.21580547112462,12,2.45,-0.41,1.5,0.67,0.0029166505567447
CSR_2009_12,CSR,2009,0.049420604264776,12,2.45,-0.41,1.5,0.67,0.0029166505567447
DOW_2009_12,DOW,2009,0.0961248640360648,12,2.45,-0.41,1.5,0.67,0.0029166505567447
ENE1_2009_12,ENE1,2009,0.0111524163568774,12,2.45,-0.41,1.5,0.67,0.0029166505567447
ENV1_2009_12,ENV1,2009,0.0408163265306122,12,2.45,-0.41,1.5,0.67,0.0029166505567447
FGL1_2009_12,FGL1,2009,-0.0201342281879194,12,2.45,-0.41,1.5,0.67,0.0029166505567447
FLX1_2009_12,FLX1,2009,0.0059488399762046,12,2.45,-0.41,1.5,0.67,0.0029166505567447
FMG_2009_12,FMG,2009,0.0546318289786225,12,2.45,-0.41,1.5,0.67,0.0029166505567447
GFF_2009_12,GFF,2009,0.0704225352112677,12,2.45,-0.41,1.5,0.67,0.0029166505567447
GNC_2009_12,GNC,2009,0.0197397769516729,12,2.45,-0.41,1.5,0.67,0.0029166505567447
GRR_2009_12,GRR,2009,0.0386151797603195,12,2.45,-0.41,1.5,0.67,0.0029166505567447
HVN_2009_12,HVN,2009,-0.0186136385872224,12,2.45,-0.41,1.5,0.67,0.0029166505567447
ILU_2009_12,ILU,2009,-0.0027566077509324,12,2.45,-0.41,1.5,0.67,0.0029166505567447
IPL_2009_12,IPL,2009,0.2456140350877191,12,2.45,-0.41,1.5,0.67,0.0029166505567447
AIO_2010_01,AIO,2010,-0.0604395604395604,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
AMP_2010_01,AMP,2010,-0.0753323485967503,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
BKN_2010_01,BKN,2010,-0.1158357771260997,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
BKW_2010_01,BKW,2010,-0.0184294871794872,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
BSL_2010_01,BSL,2010,-0.157558731785712,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
CCL_2010_01,CCL,2010,-0.0520381613183,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
CEY_2010_01,CEY,2010,-0.0875,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
CRG_2010_01,CRG,2010,-0.0676532769556026,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
CSR_2010_01,CSR,2010,0.0110674128976957,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
DJS_2010_01,DJS,2010,-0.1185185185185185,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
DOW_2010_01,DOW,2010,-0.1112240262069295,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
ENE1_2010_01,ENE1,2010,0.0110294117647058,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
ENV1_2010_01,ENV1,2010,-0.0392156862745098,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
FGL1_2010_01,FGL1,2010,-0.0296803652968036,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
