yearmonth,ticker,industry,ret,rmrf,smb,hml,rmw,cma,wml,pmc,winsor_ret,winsor_rmrf,winsor_smb,winsor_hml,winsor_rmw,winsor_cma,winsor_wml,winsor_pmc,ticker_encode,date,_Nobs,_R2,_adjR2,_b_winsor_rmrf,_b_winsor_smb,_b_winsor_hml,_b_winsor_rmw,_b_winsor_cma,_b_winsor_wml,_b_winsor_pmc,_b_cons
202101,GNC,35,-.035799522,.0055968342,.025690803,.015213263,-.036066242,.014608789,.066089787,-.026290873,-.035799522,.0055968342,.025690803,.015213263,-.036066242,.014608789,.066089787,-.026290873,GNC,2021m1,126,.2692374153238218,.2258870925040484,1.186728155054134,.1481267486403143,.5177932317439169,.6879187445281907,-.478637214347591,-.3879058162417865,-.2375574000985601,-.0040245387141227
201203,GNC,35,.14266145,.56330663,.046558738,.038552277,.063299522,.065795042,.095637299,-.74268049,.14266145,.11615862,.046558738,.038552277,.063299522,.065795042,.095637299,-.090401106,GNC,2012m3,126,.2692374153238218,.2258870925040484,1.186728155054134,.1481267486403143,.5177932317439169,.6879187445281907,-.478637214347591,-.3879058162417865,-.2375574000985601,-.0040245387141227
201009,GNC,35,.053857543,.047533561,-.062350761,-.084860243,-.089934103,-.075081535,-.088827081,.0024158945,.053857543,.047533561,-.062350761,-.084860243,-.061104979,-.075081535,-.088827081,.0024158945,GNC,2010m9,126,.2692374153238218,.2258870925040484,1.186728155054134,.1481267486403143,.5177932317439169,.6879187445281907,-.478637214347591,-.3879058162417865,-.2375574000985601,-.0040245387141227
201901,GNC,35,.035983875,.044723842,-.074535772,-.019765383,-.02229026,-.028893782,-.032972429,-.010256243,.035983875,.044723842,-.074535772,-.019765383,-.02229026,-.028893782,-.032972429,-.010256243,GNC,2019m1,126,.2692374153238218,.2258870925040484,1.186728155054134,.1481267486403143,.5177932317439169,.6879187445281907,-.478637214347591,-.3879058162417865,-.2375574000985601,-.0040245387141227
202009,GNC,35,-.12093023,-.034610465,.064302169,.036057342,.026435481,.018572453,.041954614,.0043076649,-.12093023,-.034610465,.064302169,.036057342,.026435481,.018572453,.041954614,.0043076649,GNC,2020m9,126,.2692374153238218,.2258870925040484,1.186728155054134,.1481267486403143,.5177932317439169,.6879187445281907,-.478637214347591,-.3879058162417865,-.2375574000985601,-.0040245387141227
201411,GNC,35,-.071934536,-.010414617,.039365388,.060208693,.013751972,.037706219,.088207163,.0029443933,-.071934536,-.010414617,.039365388,.060208693,.013751972,.037706219,.088207163,.0029443933,GNC,2014m11,126,.2692374153238218,.2258870925040484,1.186728155054134,.1481267486403143,.5177932317439169,.6879187445281907,-.478637214347591,-.3879058162417865,-.2375574000985601,-.0040245387141227
200912,GNC,35,.019739777,.043080486,.019106945,.038652021,.036810078,.029646961,.030158613,.031095101,.019739777,.043080486,.019106945,.038652021,.036810078,.029646961,.030158613,.031095101,GNC,2009m12,126,.2692374153238218,.2258870925040484,1.186728155054134,.1481267486403143,.5177932317439169,.6879187445281907,-.478637214347591,-.3879058162417865,-.2375574000985601,-.0040245387141227
202001,GNC,35,.10819517,.046083223,.026935395,.011097918,.053192265,.0354793,.080699466,.011249088,.10819517,.046083223,.026935395,.011097918,.053192265,.0354793,.080699466,.011249088,GNC,2020m1,126,.2692374153238218,.2258870925040484,1.186728155054134,.1481267486403143,.5177932317439169,.6879187445281907,-.478637214347591,-.3879058162417865,-.2375574000985601,-.0040245387141227
202107,GNC,35,.013565891,.022650585,.03139504,.019987157,.055229373,-.0038471748,.0087829838,.034850739,.013565891,.022650585,.03139504,.019987157,.055229373,-.0038471748,.0087829838,.034850739,GNC,2021m7,126,.2692374153238218,.2258870925040484,1.186728155054134,.1481267486403143,.5177932317439169,.6879187445281907,-.478637214347591,-.3879058162417865,-.2375574000985601,-.0040245387141227
202002,GNC,35,-.071443811,-.082078546,.010764377,.067450456,.0033436539,.032717351,-.0018096262,.0078413663,-.071443811,-.074468918,.010764377,.067450456,.0033436539,.032717351,-.0018096262,.0078413663,GNC,2020m2,126,.2692374153238218,.2258870925040484,1.186728155054134,.1481267486403143,.5177932317439169,.6879187445281907,-.478637214347591,-.3879058162417865,-.2375574000985601,-.0040245387141227
201401,GNC,35,-.1058929,-.026985457,.060730617,.0088581527,.024072714,.031118384,.032752164,.0099399015,-.1058929,-.026985457,.060730617,.0088581527,.024072714,.031118384,.032752164,.0099399015,GNC,2014m1,126,.2692374153238218,.2258870925040484,1.186728155054134,.1481267486403143,.5177932317439169,.6879187445281907,-.478637214347591,-.3879058162417865,-.2375574000985601,-.0040245387141227
201005,GNC,35,.024287058,-.048878189,.061886925,.1124947,.057943463,.12454417,.051918726,-.010609987,.024287058,-.048878189,.061886925,.10987329,.057943463,.089470416,.051918726,-.010609987,GNC,2010m5,126,.2692374153238218,.2258870925040484,1.186728155054134,.1481267486403143,.5177932317439169,.6879187445281907,-.478637214347591,-.3879058162417865,-.2375574000985601,-.0040245387141227
