year,ticker,ticker_year,scope1,scope2,total_emissions,energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int
2011,AGL,AGL_2011,1545278,51062,1596340,48878147,,,,,2.1849105,.072197951,2.2571084,69.110138
2011,AGL,AGL_2011,1545278,51062,1596340,48878147,,,,,2.1849105,.072197951,2.2571084,69.110138
2011,AGL,AGL_2011,1545278,51062,1596340,48878147,,,,,2.1849105,.072197951,2.2571084,69.110138
2011,AGL,AGL_2011,1545278,51062,1596340,48878147,,,,,2.1849105,.072197951,2.2571084,69.110138
2011,AGL,AGL_2011,1545278,51062,1596340,48878147,,,,,2.1849105,.072197951,2.2571084,69.110138
2011,AGL,AGL_2011,1545278,51062,1596340,48878147,,,,,2.1849105,.072197951,2.2571084,69.110138
2011,AGL,AGL_2011,1545278,51062,1596340,48878147,,,,,2.1849105,.072197951,2.2571084,69.110138
2011,AGL,AGL_2011,1545278,51062,1596340,48878147,,,,,2.1849105,.072197951,2.2571084,69.110138
2012,AGL,AGL_2012,21741632,303574,22045206,274972535,281897,65879,360839,3762695,29.150141,.4070175,29.557158,368.67001
2012,AGL,AGL_2012,21741632,303574,22045206,274972535,281897,65879,360839,3762695,29.150141,.4070175,29.557158,368.67001
2013,AGL,AGL_2013,20236397,314529,20550926,171615419,-344524,10955,-355070,-6483440,20.828552,.32373273,21.152285,176.63722
2013,AGL,AGL_2013,20236397,314529,20550926,171615419,-344524,10955,-355070,-6483440,20.828552,.32373273,21.152285,176.63722
2013,AGL,AGL_2013,20236397,314529,20550926,171615419,-344524,10955,-355070,-6483440,20.828552,.32373273,21.152285,176.63722
2013,AGL,AGL_2013,20236397,314529,20550926,171615419,-344524,10955,-355070,-6483440,20.828552,.32373273,21.152285,176.63722
2013,AGL,AGL_2013,20236397,314529,20550926,171615419,-344524,10955,-355070,-6483440,20.828552,.32373273,21.152285,176.63722
2013,AGL,AGL_2013,20236397,314529,20550926,171615419,-344524,10955,-355070,-6483440,20.828552,.32373273,21.152285,176.63722
2013,AGL,AGL_2013,20236397,314529,20550926,171615419,-344524,10955,-355070,-6483440,20.828552,.32373273,21.152285,176.63722
2013,AGL,AGL_2013,20236397,314529,20550926,171615419,-344524,10955,-355070,-6483440,20.828552,.32373273,21.152285,176.63722
2013,AGL,AGL_2013,20236397,314529,20550926,171615419,-344524,10955,-355070,-6483440,20.828552,.32373273,21.152285,176.63722
2013,AGL,AGL_2013,20236397,314529,20550926,171615419,-344524,10955,-355070,-6483440,20.828552,.32373273,21.152285,176.63722
2013,AGL,AGL_2013,20236397,314529,20550926,171615419,-344524,10955,-355070,-6483440,20.828552,.32373273,21.152285,176.63722
