year,ticker,ticker_year,scope1,scope2,total_emissions,energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int
2011,DOW,DOW_2011,217793.0,47768.0,265561.0,9670981.0,8789.0,2306.0,11095.0,-468196.0,0.3279102936276611,0.0719197536468395,0.3998300472745006,14.560680184292112
2011,DOW,DOW_2011,217793.0,47768.0,265561.0,9670981.0,8789.0,2306.0,11095.0,-468196.0,0.3279102936276611,0.0719197536468395,0.3998300472745006,14.560680184292112
2011,DOW,DOW_2011,217793.0,47768.0,265561.0,9670981.0,8789.0,2306.0,11095.0,-468196.0,0.3279102936276611,0.0719197536468395,0.3998300472745006,14.560680184292112
2011,DOW,DOW_2011,217793.0,47768.0,265561.0,9670981.0,8789.0,2306.0,11095.0,-468196.0,0.3279102936276611,0.0719197536468395,0.3998300472745006,14.560680184292112
2012,DOW,DOW_2012,139679.0,46643.0,186322.0,2733978.0,-78114.0,-1125.0,-79239.0,-6937003.0,0.1763519974708558,0.0588892118216276,0.2352412092924835,3.4517893265371
2012,DOW,DOW_2012,139679.0,46643.0,186322.0,2733978.0,-78114.0,-1125.0,-79239.0,-6937003.0,0.1763519974708558,0.0588892118216276,0.2352412092924835,3.4517893265371
2013,DOW,DOW_2013,156804.0,48934.0,205738.0,2939595.0,17125.0,2291.0,19416.0,205617.0,0.187228343737694,0.0584285590447968,0.2456569027824909,3.5099583117114794
2013,DOW,DOW_2013,156804.0,48934.0,205738.0,2939595.0,17125.0,2291.0,19416.0,205617.0,0.187228343737694,0.0584285590447968,0.2456569027824909,3.5099583117114794
2013,DOW,DOW_2013,156804.0,48934.0,205738.0,2939595.0,17125.0,2291.0,19416.0,205617.0,0.187228343737694,0.0584285590447968,0.2456569027824909,3.5099583117114794
2013,DOW,DOW_2013,156804.0,48934.0,205738.0,2939595.0,17125.0,2291.0,19416.0,205617.0,0.187228343737694,0.0584285590447968,0.2456569027824909,3.5099583117114794
2013,DOW,DOW_2013,156804.0,48934.0,205738.0,2939595.0,17125.0,2291.0,19416.0,205617.0,0.187228343737694,0.0584285590447968,0.2456569027824909,3.5099583117114794
2013,DOW,DOW_2013,156804.0,48934.0,205738.0,2939595.0,17125.0,2291.0,19416.0,205617.0,0.187228343737694,0.0584285590447968,0.2456569027824909,3.5099583117114794
2013,DOW,DOW_2013,156804.0,48934.0,205738.0,2939595.0,17125.0,2291.0,19416.0,205617.0,0.187228343737694,0.0584285590447968,0.2456569027824909,3.5099583117114794
