ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AAX,Ausenco Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , ,"17,000.00","32,000.00","42,000.00","85,440,000.00","63,611,000.00","46,968,000.00","59,798,000.00","35,054,000.00","26,765,000.00","51,418,000.00","3,336,000.00", , , , , , , 
AB1,Abarta Resources Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , ,--,--,--,--,--,--,--,--,--,--,--,0.00,"5,577,650.00", , , 
AB11,Animoca Brands Corporation Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , ,--,--,--,--,--,--,--,0.00,--,--,--,--,"5,577,650.00", , , 
ABA,Auswide Bank Ltd,Annual Balance Sheet - NCL Long-Term Debt,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ABB,Aussie Broadband Limited,Annual Balance Sheet - NCL Long-Term Debt, ,"100,000.00","70,000.00",0.00,"120,384,000.00","120,142,000.00","140,000,000.00","300,000,000.00","300,800,000.00", , , , , , , , , , , ,"7,541,000.00","5,075,000.00","139,838,000.00"
ABB1,ABB Grain Limited,Annual Balance Sheet - NCL Long-Term Debt, ,"100,000.00","70,000.00",0.00,"120,384,000.00","120,142,000.00","140,000,000.00","300,000,000.00","300,800,000.00", , , , , , , , , , , , , , 
ABC,ADBRI Limited,Annual Balance Sheet - NCL Long-Term Debt,"204,902,000.00","228,432,000.00","200,826,000.00","13,767,000.00","1,094,000.00","971,000.00","210,700,000.00","281,900,000.00","410,500,000.00","200,500,000.00","150,200,000.00","258,700,000.00","299,300,000.00","259,100,000.00","390,100,000.00","329,500,000.00","309,600,000.00","428,900,000.00","518,700,000.00","622,000,000.00","550,900,000.00","638,800,000.00", 
ABE,Australian Bond Exchange Holdings Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , , , , , ,--, 
ABF,Ausmani Limited,Annual Balance Sheet - NCL Long-Term Debt,"1,978,500.00","9,136,589.00","13,072,464.00","11,495,656.00","4,037,013.00","1,143,810.00",0.00,--,--,"3,461,624.00","3,992,172.00","2,816,783.00",--,--,--,--, , , , , , , 
ABG,Abigroup Limited,Annual Balance Sheet - NCL Long-Term Debt,"64,879,000.00","57,322,000.00","52,075,000.00","56,174,000.00", , , , , , , , , , , , , , , , , , , 
