ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AAI,Alcoa Inc.,Annual Balance Sheet - CL Short-Term Debt,"5,678,700,361.00","278,104,191.00","215,471,564.00","772,000,000.00","1,230,491,422.00","2,359,210,447.00","1,674,459,749.00","1,845,508,166.00","2,986,431,870.00","942,134,017.00","317,819,541.00","719,771,563.00","498,844,375.00","795,708,538.00","101,194,830.00","80,755,543.00", , , , , , , 
AAJ,Aruma Resources Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , ,"45,516.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 
AAK,Australia China Holdings Limited,Annual Balance Sheet - CL Short-Term Debt,"9,657,000.00","12,285,000.00","16,954,000.00","36,482,000.00","16,586,000.00","6,797,000.00","1,091,000.00","2,808,000.00","694,000.00",0.00,"73,000.00","486,000.00","894,000.00","160,000.00",0.00,"284,000.00",0.00, , , , , , 
AAN,Alinta Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , ,"1,161,465,000.00", , , , , , , , , , , , , , , , 
AAP,Australian Agricultural Projects Limited,Annual Balance Sheet - CL Short-Term Debt, , , , ,0.00,"806,063.00","727,097.00","1,044,667.00","3,731,094.00","4,547,875.00","2,724,008.00","5,442,627.00","5,562,930.00","2,204,788.00","3,947,269.00","1,954,211.00","1,602,457.00","1,489,440.00","1,517,639.00","2,092,252.00","152,160.00","270,708.00", 
AAP1,AAPT Limited ,Annual Balance Sheet - CL Short-Term Debt,"144,000.00", , , , , , , , , , , , , , , , , , , , , , 
AAR,Astral Resources NL,Annual Balance Sheet - CL Short-Term Debt,"5,912.00","34,637.00","19,595.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"73,055.00","172,285.00","156,776.00","102,708.00","2,987.00",0.00,0.00,"57,365.00","45,173.00", 
AAS,Asian Pacific Limited,Annual Balance Sheet - CL Short-Term Debt,0.00,"5,000.00","20,000.00","18,000.00","36,438.00","9,000.00","23,061.00","150,785.00", , , , , , , , , , , , , , , 
AASF,Airlie Australian Share Fund (Managed Fund),Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , , , , , , ,--,--
AAT,AAT Corporation Limited,Annual Balance Sheet - CL Short-Term Debt,"912,859.00","784,000.00","26,541,000.00","33,319,000.00","46,246,000.00","92,408,000.00","99,640,000.00","19,774,000.00","22,273,000.00","40,812,000.00", , ,0.00,"231,282.00","62,076.00","62,076.00", , , , , , , 
