ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AAK,Australia China Holdings Limited,Annual Profit and Loss - Total Revenue Excluding Int,"47,896,000.00","52,822,000.00","46,227,000.00","53,297,000.00","44,565,000.00","49,830,000.00","1,404,000.00","4,246,000.00","3,065,000.00","4,425,000.00","7,074,000.00","5,927,000.00","1,272,000.00","1,203,000.00","3,001,000.00","499,000.00","2,299,000.00", , , , , , 
AAN,Alinta Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , ,"1,463,492,000.00", , , , , , , , , , , , , , , , 
AAP,Australian Agricultural Projects Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , ,"290,051.00","2,015,418.00","4,081,390.00","9,896,396.00","12,159,411.00","16,967,062.00","17,047,790.00","17,882,030.00","17,258,840.00","3,304,676.00","2,808,145.00","3,469,505.00","3,650,162.00","3,555,282.00","1,659,632.00","2,454,152.00","1,174,177.00","3,439,361.00", 
AAP1,AAPT Limited ,Annual Profit and Loss - Total Revenue Excluding Int,"1,006,045,000.00", , , , , , , , , , , , , , , , , , , , , , 
AAR,Astral Resources NL,Annual Profit and Loss - Total Revenue Excluding Int,--,"2,990.00",--,"2,094.00","101,908.00","7,250.00","3,750.00","10,199,278.00","6,822,897.00","26,309.00","265,308.00","8,605.00","15,297.00",--,"48,000.00",--,--,--,--,--,"62,500.00","37,500.00", 
AAS,Asian Pacific Limited,Annual Profit and Loss - Total Revenue Excluding Int,"9,520,814.00","10,581,000.00","24,191,000.00","19,660,000.00","27,553,732.00","27,995,000.00","26,236,340.00","21,437,012.00", , , , , , , , , , , , , , , 
AASF,Airlie Australian Share Fund (Managed Fund),Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , , , , , , ,--,--
AAT,AAT Corporation Limited,Annual Profit and Loss - Total Revenue Excluding Int,"51,168,827.00","182,625,000.00","160,138,000.00","179,171,000.00","208,238,000.00","211,570,000.00","264,340,000.00","22,013,000.00","250,353,000.00","372,837,000.00", , ,"14,994,000.00",--,"81,314.00","4,051.00", , , , , , , 
AAU,Antilles Gold Limited,Annual Profit and Loss - Total Revenue Excluding Int,"786,600.00","370,366.00","125,030.00",--,"6,977.00","2,703,652.00","728,335.00","39,827.00","54,534.00","3,370,642.00",380.00,"58,448,000.00","28,347,000.00","20,760,000.00","18,463,000.00","18,130,000.00","15,615,000.00","13,278,000.00","12,772,680.00","9,605,002.00","7,930,011.00","165,957.00", 
AAU1,Adcorp Australia Limited,Annual Profit and Loss - Total Revenue Excluding Int,"114,259,000.00","124,943,000.00","118,815,000.00","155,768,000.00","184,192,000.00","33,844,000.00","32,577,000.00","34,862,000.00","39,312,000.00","66,884,000.00","61,811,000.00","58,448,000.00","28,347,000.00","20,760,000.00","18,463,000.00","18,130,000.00","15,615,000.00","13,278,000.00","12,772,680.00","9,605,002.00", , , 
AAX,Ausenco Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , ,--,"144,166,000.00","360,372,000.00","620,400,000.00","438,297,000.00","510,487,000.00","548,027,000.00","633,229,000.00","458,834,000.00","363,007,000.00","252,772,000.00", , , , , , , 
AB1,Abarta Resources Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , ,--,--,"11,256.00",--,--,"287,703.00","-2,801.00","45,395.00","8,555,265.00","9,221,725.00","7,584,633.00","16,525,806.00","18,282,807.00", , , 
AB11,Animoca Brands Corporation Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , ,--,--,"11,256.00",--,--,"287,703.00","-2,801.00","1,138,118.00","8,555,265.00","9,221,725.00","7,584,633.00","16,525,806.00","18,282,807.00", , , 
ABA,Auswide Bank Ltd,Annual Profit and Loss - Total Revenue Excluding Int,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ABB,Aussie Broadband Limited,Annual Profit and Loss - Total Revenue Excluding Int, ,"754,169,000.00","895,743,000.00","426,507,000.00","779,603,000.00","1,088,305,000.00","1,187,800,000.00","1,475,600,000.00","2,251,800,000.00", , , , , , , , , , , ,--,"350,270,000.00","546,940,000.00"
ABB1,ABB Grain Limited,Annual Profit and Loss - Total Revenue Excluding Int, ,"754,169,000.00","895,743,000.00","426,507,000.00","779,603,000.00","1,088,305,000.00","1,187,800,000.00","1,475,600,000.00","2,251,800,000.00", , , , , , , , , , , , , , 
ABC,ADBRI Limited,Annual Profit and Loss - Total Revenue Excluding Int,"641,020,000.00","393,228,000.00","489,411,000.00","637,133,000.00","715,877,000.00","723,251,000.00","796,852,000.00","892,100,000.00","1,031,000,000.00","1,009,700,000.00","1,079,100,000.00","1,110,400,000.00","1,183,400,000.00","1,230,900,000.00","1,362,100,000.00","1,462,800,000.00","1,409,200,000.00","1,578,100,000.00","1,645,900,000.00","1,520,500,000.00","1,457,700,000.00","1,588,100,000.00", 
ABE,Australian Bond Exchange Holdings Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , , , , , , ,--,--
