ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACU,Acumentis Group Limited,Annual Balance Sheet - Total Liabilities,"101,982.00","232,597.00","259,543.00","381,333.00","564,417.00","4,333,750.00","6,107,969.00","2,075,777.00","729,095.00","711,590.00","323,291.00","97,785.00","33,570.00","253,410.00","813,802.00","212,082.00","352,360.00","2,208,771.00","5,136,000.00","12,574,000.00","14,526,000.00","14,141,000.00","18,110,000.00"
ACW,Actinogen Medical Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , ,"82,334.00","105,419.00","173,578.00","94,680.00","118,809.00","81,319.00","49,927.00","222,640.00","824,203.00","844,259.00","768,253.00","557,395.00","1,047,668.00","920,321.00","1,566,474.00"
ACX,Aconex Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , ,"88,100,000.00","104,972,000.00","143,993,000.00","127,710,000.00", , , , , 
ACY,Australian Commercial Property Trust ,Annual Balance Sheet - Total Liabilities,"67,539,000.00",0.00, , , , , , , , , , , , , , , , , , , , , 
AD1,AD1 Holdings Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , ,"1,824,399.00","2,340,783.00","840,663.00","759,288.00","1,374,544.00","1,411,787.00","5,431,854.00","8,585,004.00"
AD8,Audinate Group limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , ,"2,118,000.00","11,483,691.00","4,366,031.00","5,394,000.00","8,336,000.00","10,951,000.00","15,154,000.00"
ADA,Adacel Technologies Limited,Annual Balance Sheet - Total Liabilities,"11,346,000.00","21,652,000.00","18,987,000.00","28,180,000.00","28,696,000.00","18,047,000.00","16,665,000.00","8,808,000.00","11,020,000.00","11,317,000.00","12,999,000.00","12,532,000.00","13,644,000.00","11,781,000.00","10,828,000.00","14,457,000.00","12,005,000.00","11,794,000.00","14,320,000.00","13,647,000.00","22,449,000.00","20,330,000.00","19,088,401.00"
ADB,Adelaide Bank Limited,Annual Balance Sheet - Total Liabilities,"5,444,402,000.00","6,311,640,000.00","6,458,196,000.00","8,324,547,000.00","9,937,977,000.00","12,666,785,000.00","25,476,797,000.00","30,822,221,000.00", , , , , , , , , , , , , , , 
ADD,Adavale Resources Limited,Annual Balance Sheet - Total Liabilities,"3,752,587.00","12,207,328.00","9,718,553.00","7,306,632.00","6,578,562.00","5,887,533.00","155,276.00","157,917.00","225,459.00","126,011.00","273,171.00","189,905.00","212,932.00","400,219.00","809,637.00","1,326,043.00","1,625,496.00","1,744,421.00","1,064,646.00","1,275,946.00","1,377,774.00","474,830.00", 
ADE,Adelaide Energy Limited,Annual Balance Sheet - Total Liabilities, , , , , , , ,"292,858.00","464,161.00","3,074,494.00","6,836,329.00","4,402,552.00", , , , , , , , , , , 
ADEF,Apostle Dundas Global Equity Fund,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , , , , , ,"3,462,000.00", 
ADG,Adtrans Group Limited,Annual Balance Sheet - Total Liabilities,"36,519,481.00","46,530,000.00","101,200,000.00","98,737,000.00","105,941,000.00","114,421,000.00","121,294,000.00","131,639,000.00","176,023,000.00","152,435,000.00","150,223,000.00", , , , , , , , , , , , 
ADH,Adairs Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , ,"69,389,000.00","79,447,000.00","75,693,000.00","92,369,000.00","78,813,000.00","91,957,000.00","248,557,000.00","250,169,000.00","429,573,000.00"
ADI2,Adelphi Energy Limited,Annual Balance Sheet - Total Liabilities,"934,000.00","2,861,000.00","141,381.00","8,000.00","9,347.00","180,300.00","392,312.00","690,995.00","633,264.00","1,982,656.00", , , , , , , , , , , , , 
ADN,Andromeda Metals Limited,Annual Balance Sheet - Total Liabilities,"68,509.00","93,529.00","164,953.00","84,686.00","271,036.00","70,853.00","154,384.00","606,126.00","768,395.00","468,030.00","662,559.00","641,932.00","863,393.00","515,490.00","552,673.00","948,891.00","1,000,990.00","1,159,384.00","1,186,184.00","1,452,982.00","1,754,476.00","3,129,996.00", 
ADO,AnteoTech Limited,Annual Balance Sheet - Total Liabilities,"618,045.00","1,328,180.00","1,598,200.00","1,581,576.00","1,326,683.00","205,359.00","316,860.00","408,703.00","461,883.00","299,529.00","328,840.00","394,093.00","438,833.00","499,582.00","565,601.00","696,405.00","38,693,313.00","38,710,876.00","468,136.00","532,551.00","699,627.00","2,561,367.00","2,908,722.00"
ADP,AMP Diversified Property Trust,Annual Balance Sheet - Total Liabilities,"454,559,000.00","417,758,000.00","458,526,000.00","580,783,000.00", , , , , , , , , , , , , , , , , , , 
ADQ,ADG Global Supply Limited,Annual Balance Sheet - Total Liabilities,"32,449,590.00","26,279,064.00","23,350,611.00","20,668,294.00","18,306,512.00","18,904,935.00","18,005,119.00","9,312,923.00","23,987,842.00","15,213,082.00","11,980,256.00","12,650,998.00","23,287,000.00","16,893,000.00","14,037,000.00","8,174,000.00", , , , , , , 
