ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AAI,Alcoa Inc.,Annual Balance Sheet - NCA PP&E,"23,194,945,848.00","23,466,509,988.00","21,389,968,209.00","16,742,666,666.00","16,241,454,920.00","24,452,194,584.00","18,719,828,130.00","19,145,871,143.00","25,194,861,431.00","22,107,258,334.00","19,837,646,364.00","19,117,762,898.00","18,246,340,523.00","19,712,784,979.00","20,026,822,726.00","20,277,853,818.00", , , , , , , 
AAJ,Aruma Resources Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , ,0.00,"14,401.00","19,712.00","15,122.00","54,486.00","47,754.00","38,565.00","62,786.00","39,926.00","23,493.00","16,551.00","28,082.00", 
AAK,Australia China Holdings Limited,Annual Balance Sheet - NCA PP&E,"36,982,000.00","34,462,000.00","43,118,000.00","40,457,000.00","31,254,000.00","30,574,000.00","8,000.00","5,000.00","5,000.00","28,000.00","18,000.00","13,000.00","9,000.00","5,000.00","1,000.00",0.00,"17,000.00", , , , , , 
AAN,Alinta Limited,Annual Balance Sheet - NCA PP&E, , , , , , ,"6,069,730,000.00", , , , , , , , , , , , , , , , 
AAP,Australian Agricultural Projects Limited,Annual Balance Sheet - NCA PP&E, , , , ,"316,713.00","426,083.00","557,746.00","513,469.00","4,081,171.00","3,469,095.00","2,918,194.00","3,054,914.00","2,704,669.00","1,981,712.00","1,824,890.00","1,547,518.00","1,414,195.00","1,188,314.00","1,317,602.00","1,194,481.00","10,462,766.00","11,731,258.00", 
AAP1,AAPT Limited ,Annual Balance Sheet - NCA PP&E,"371,755,000.00", , , , , , , , , , , , , , , , , , , , , , 
AAR,Astral Resources NL,Annual Balance Sheet - NCA PP&E,"43,288.00","39,440.00","30,110.00","26,177.00","47,592.00","48,744.00","1,202,728.00","39,743.00","35,744.00","81,185.00","64,900.00","39,735.00","4,854.00","2,100.00","3,417.00","2,515.00",0.00,0.00,0.00,0.00,"161,496.00","141,336.00", 
AAS,Asian Pacific Limited,Annual Balance Sheet - NCA PP&E,"111,152.00","597,000.00","965,000.00","859,000.00","720,878.00","645,000.00","673,439.00","1,470,413.00", , , , , , , , , , , , , , , 
AASF,Airlie Australian Share Fund (Managed Fund),Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , , , , ,--,--
AAT,AAT Corporation Limited,Annual Balance Sheet - NCA PP&E,"2,753,735.00","4,166,000.00","7,041,000.00","14,919,000.00","26,235,000.00","38,154,000.00","17,529,000.00","27,158,000.00","54,314,000.00","69,323,000.00", , ,--,--,--,--, , , , , , , 
