ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AAH,Arana Therapeutics Limited,Annual Balance Sheet - Total Assets,"21,835,000.00","50,126,000.00","41,763,000.00","36,581,000.00","69,390,000.00","84,441,000.00","100,186,000.00","329,484,000.00","329,513,000.00", , , , , , , , , , , , , , 
AAI,Alcoa Inc.,Annual Balance Sheet - Total Assets,"57,203,971,119.00","55,532,706,619.00","52,649,240,551.00","42,281,333,333.00","42,059,847,800.00","62,595,240,350.00","46,989,763,680.00","44,014,292,196.00","54,592,956,120.00","42,894,414,092.00","38,662,796,418.00","39,503,741,630.00","38,693,181,818.00","39,944,121,591.00","45,597,415,264.00","49,997,262,523.00", , , , , , , 
AAJ,Aruma Resources Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , ,"4,830,740.00","3,497,716.00","2,961,100.00","3,784,686.00","2,880,346.00","1,192,301.00","1,180,555.00","1,580,574.00","1,680,841.00","1,149,485.00","1,521,353.00","2,894,136.00", 
AAK,Australia China Holdings Limited,Annual Balance Sheet - Total Assets,"156,755,000.00","119,147,000.00","141,223,000.00","126,327,000.00","106,615,000.00","124,975,000.00","35,864,000.00","39,896,000.00","43,601,000.00","71,550,000.00","72,817,000.00","73,789,000.00","74,780,000.00","75,979,000.00","78,391,000.00","78,907,000.00","80,981,000.00", , , , , , 
AAN,Alinta Limited,Annual Balance Sheet - Total Assets, , , , , , ,"11,000,749,000.00", , , , , , , , , , , , , , , , 
AAP,Australian Agricultural Projects Limited,Annual Balance Sheet - Total Assets, , , , ,"1,833,658.00","2,091,312.00","5,838,620.00","5,180,668.00","22,934,374.00","22,254,648.00","21,774,642.00","22,722,250.00","18,166,186.00","14,171,354.00","13,133,076.00","13,616,160.00","13,338,307.00","13,205,015.00","12,386,993.00","14,259,657.00","13,436,201.00","17,187,512.00", 
AAP1,AAPT Limited ,Annual Balance Sheet - Total Assets,"794,319,000.00", , , , , , , , , , , , , , , , , , , , , , 
AAR,Astral Resources NL,Annual Balance Sheet - Total Assets,"950,251.00","888,710.00","623,999.00","831,332.00","2,991,459.00","2,578,155.00","5,613,765.00","12,314,308.00","12,194,971.00","11,132,718.00","10,595,178.00","11,902,315.00","5,526,197.00","5,285,937.00","5,651,035.00","1,747,269.00","1,998,028.00","2,475,058.00","5,561,967.00","6,481,387.00","12,153,270.00","23,251,503.00", 
AAS,Asian Pacific Limited,Annual Balance Sheet - Total Assets,"4,631,896.00","13,963,000.00","7,460,000.00","5,698,000.00","9,312,261.00","7,408,000.00","5,954,873.00","20,279,974.00", , , , , , , , , , , , , , , 
AASF,Airlie Australian Share Fund (Managed Fund),Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , , ,"103,591,000.00","308,849,000.00"
