ASX Code,Company Name
APE,Eagers Automotive Limited
APG,Austpac Resources NL
APH2,Ascent Pharmahealth Ltd
API,Australian Pharmaceutical Industries Limited
APK,Australian Power and Gas Company Limited
APL,Antipodes Global Investment Company Limited
APM,APM Human Services International Limited
APO,APN Outdoor Group Limited
APR,API Fund
APS,Allup Silica Limited
APT,Afterpay Limited
APW,Aims Property Securities Fund
APX,Appen Limited
APZ,Aspen Group
AQA,Aquila Resources Limited
AQC,Australian Pacific Coal Limited
AQD,Ausquest Limited
AQE,Aequs Capital Limited
AQF,Australian Governance Masters Index Fund Limited
AQI,Alicanto Minerals Limited
AQJ,Aus Asia Minerals Limited
AQN,Aquirian Limited
AQO,Ambassador Oil and Gas Limited
AQP,Aquarius Platinum Limited
AQQ,Aphrodite Gold Limited
AQS,Aquis Entertainment Limited
AQX,Alice Queen Limited
AQZ,Alliance Aviation Services Limited
AR1,Austral Resources Australia Ltd
AR3,Australian Rare Earths Limited
AR9,archTIS Limited
ARA,Ariadne Australia Limited
ARB,ARB Corporation Limited
ARC,ARC Funds Limited
ARD,Argent Minerals Limited
ARE,Argonaut Resources NL
ARF,Arena REIT
ARG,Argo Investments Limited
ARH,Australasian Resources Limited
ARI,A.C.N 004 410 833 Limited
ARJ,The Ark Fund Limited
ARL,Ardea Resources Limited
ARN,Aldoro Resources Ltd
ARO,Astro Resources NL
ARR,American Rare Earths Limited
ARS,ALT RESOURCES LIMITED
ART,Airtasker Limited
ARU,Arafura Resources Limited
ARV,Artemis Resources Limited
ARX,Aroa Biosurgery Limited
AS1,Angel Seafood Holdings Ltd
AS2,Askari Metals Limited
ASB,Austal Limited
ASG,Autosports Group Limited
ASH,Ashley Services Group Limited
ASIA,BetaShares Asia Technology Tigers ETF
ASM,Australian Strategic Materials Limited
ASN,Anson Resources Limited
ASO,Aston Minerals Limited
ASP,Aspermont Limited
ASQ,Australian Silica Quartz Group Ltd
ASR,Asra Minerals Limited
AST,AusNet Services
ASU,Alpha Technologies Corporation Limited
ASW,Advanced Share Registry Ltd
ASX,ASX Limited
ASZ,ASG Group Limited
AT1,Atomo Diagnostics Limited
ATA,Atturra Limited
ATA1,ATC Alloys Ltd
ATC,Altech Chemicals Ltd
ATE,Atherton Resources Ltd
ATEC,BetaShares S&P/ASX Australian Technology ETF
ATH,Alterity Therapeutics Limited
ATI,Atlantic Limited
ATL,Apollo Tourism & Leisure Ltd
ATM,Aneka Tambang (Persero) Tbk (Pt)
ATP,Atlas Pearls Ltd
ATR,Astron Corporation Limited
ATS,Australis Oil and Gas Limited
ATU,Atrum Coal Limited
ATV,Activeport Group Ltd
ATV1,Atlantic Gold NL
ATX,Amplia Therapeutics Limited
AU1,The Agency Group Australia Ltd
AUA,Audeara Limited
AUB,AUB Group Limited
AUC,AusGold Limited
AUDS,Betashares Strong Australian Dollar Fund (Hedge Fund)
AUE,Aurum Resource Limited
AUF,Asian Masters Fund Limited
AUH,AustChina Holdings Limited
AUI,Australian United Investment Company Limited
AUK,Aumake Limited
AUL,Austar Gold Limited
AUMF,ishares Edge MSCI Australia Multifactor ETF
AUN,Aurumin Limited
AUN1,Austar United Communications Limited
AUP,Aurora Property Buy-Write Income Trust
AUQ,Alara Resources Limited
AUR,Auris Minerals Limited
AUST,Betashares Managed Risk Australian Share Fund
AUT,Auteco Minerals Ltd
AUT2,Aurora Oil & Gas Limited
AUW,Australian Wealth Management Limited
AUZ,Australian Mines Limited
AV1,Adveritas Limited
AVA,AVA Risk Group Limited
AVB,Avanco Resources Limited
AVC,Auctus Investment Group Limited
AVD,AVADA Group Limited
AVE,Avecho Biotechnology Limited
AVE1,Aevum Limited
AVG,Australian Vintage Ltd
AVH,"AVITA Medical, Inc."
AVJ,AVJennings Limited
AVL,Australian Vanadium Limited
AVM,Advance Metals Limited
AVM1,Anvil Mining Limited
AVN,Aventus Retail Property Fund
AVO,Avoca Resources Limited
AVQ,Axiom Mining Limited
AVR,Anteris Technologies Ltd
AVS,Avastra Sleep Centres Limited
AVW,Avira Resources Ltd
AVZ,AVZ Minerals Limited
AW1,American West Metals Limited
AWB,AWB Limited
AWC,Alumina Limited
AWE,AWE Limited
AWJ,Auric Mining Limited
AWN,AWN Holdings Limited
AWV,Anova Metals Limited
AX1,Accent Group Limited
AX8,Accelerate Resources Limited
AXA,AXA Asia Pacific Holdings Limited
AXE,Archer Materials Limited
AXI,Axiom Properties Limited
AXL,A.C.N. 603 323 182 Pty Limited
AXM,Apex Minerals NL
AXO,Aurox Resources Limited
AXP,AXP Energy Limited
AXP1,"AirXpanders, Inc."
AXT,Argo Exploration Limited
AXZ,Amex Resources Limited
AYA,Artrya Limited
AYD,Australian Masters Yield Fund No 1 Limited
AYH,Australian Masters Yield Fund No 2 Limited
AYI,A1 Investments & Resources Ltd
AYJ,Australian Masters Yield Fund No 3 Limited
AYK,Australian Masters Yield Fund No 4 Limited
AYM,Australia United Mining Limited
AYN,Alcyone Resources Limited
AYS,Amaysim Australia Limited
AYT,Austin Metals Limited
AYT1,Adelaide Managed Funds Asset Backed Yield Trust
AYX,Austofix Group Limited
AYZ,Australian Masters Yield Fund No 5 Limited
AZC,Australian Zircon NL
AZD,Amazing Loans Limited
AZG,Allmine Group Limited
AZH,Azimuth Resources Limited
AZI,Altamin Limited
AZJ,Aurizon Holdings Limited
AZL,Arizona Lithium Limited
AZM,Azumah Resources Limited
AZO,Apollo Gas Limited
AZQ,Ascot Resources Limited
AZS,Azure Minerals Limited
AZT,Azure Health Technology Limited
AZT2,Aston Resources Limited
AZU,Azurn International Limited
AZX,Auzex Resources Limited
AZY,Antipa Minerals Limited
B2Y,Bounty Mining Limited
B4P,Beforepay Group Limited
BAB,Bullabulling Gold Limited
BAH,Bojun Agriculture Holdings Limited
BAL,Bellamy's Australia Limited
BAO,Brookfield Australian Opportunities Fund
BAP,Bapcor Limited
BAS,Bass Oil Limited
BAT,Battery Minerals Limited
BBC,BNK Banking Corporation Limited
BBG,Billabong International Limited
BBI,Babcock & Brown Infrastructure Group
BBL,Brisbane Broncos Limited
BBN,Baby Bunting Group Limited
BBOZ,Betashares Austalian Equities Strong Bear Hedge Fund
BBR,Bora Bora Resources Limited
BBT,BlueBet Holdings Ltd
BBUS,BetaShares U.S. Equities Strong Bear Hedge Fund - Currency Hedged
BBX,BBX Minerals Limited
BC8,Black Cat Syndicate Limited
BCA,Black Canyon Limited
BCB,Bowen Coking Coal Limited
BCC,Beam Communications Holdings Limited 
BCC2,Buccaneer Energy Limited
BCD,BCD Resources NL
BCI,BCI Minerals Limited
BCK,Brockman Mining Limited
BCN,Beacon Minerals Limited
BCO,BCD Resources (Operations) NL
BCS,BrisConnections Unit Trusts
BCT,Bluechiip Limited
BDC,Bardoc Gold Limited
BDG,Black Dragon Gold Corp
BDL,Brandrill Limited
BDM,Burgundy Diamond Mines Limited
BDM1,BioDiem Ltd
BDR,Beadell Resources Limited
BDT,Birddog Technology Limited
BDX,BCAL Diagnostics Limited
BEAR,BetaShares Australian Equities Bear Hedge Fund
BEC,Becton Property Group
BEE,Broo Ltd
BEG,Bluenergy Group Limited
BEL,Bentley Capital Limited
BEM,BlackEarth Minerals NL
BEN,Bendigo and Adelaide Bank Limited
BET,Betmakers Technology Group Ltd
BEX,BikeExchange Limited
BEZ,Besra Gold Inc
BFC,Beston Global Food Company Limited
BFG,Bell Financial Group Limited
BFL,BSP Financial Group Limited
BGA,Bega Cheese Limited
BGD,Barton Gold Holdings Limited
BGG,Blackgold International Holdings Limited
BGH,Bligh Resources Limited
