yearmonth,ticker,industry,ret,rmrf,smb,hml,rmw,cma,wml,pmc,ticker_encode,date,winsor_ret,winsor_rmrf,winsor_smb,winsor_hml,winsor_rmw,winsor_cma,winsor_wml,winsor_pmc,_Nobs,_R2,_adjR2,_b_winsor_rmrf,_b_winsor_smb,_b_winsor_hml,_b_winsor_rmw,_b_winsor_cma,_b_winsor_wml,_b_winsor_pmc,_b_cons
201512,HGO,122,-.085864484,.0064344979,-.01699822,-.042089857,-.0041080071,-.0036160143,.0094709964,.0072157821,HGO,2015m12,-.085864484,.0064344979,-.01699822,-.042089857,-.0041080071,-.0036160143,.0094709964,.0072157821,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201602,HGO,122,-.30040872,-.028846459,-.012165266,.026317928,-.024992997,.0087170871,-.018330533,.050199777,HGO,2016m2,-.25675213,-.028846459,-.012165266,.026317928,-.024992997,.0087170871,-.018330533,.050199777,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201301,HGO,122,.19041096,.022437615,.014123378,.028409621,.0045326143,-.010153242,.016620973,-.02197708,HGO,2013m1,.19041096,.022437615,.014123378,.028409621,.0045326143,-.010153242,.016620973,-.02197708,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201903,HGO,122,-.047445256,-.0013447987,.006711782,.02113083,.015685875,.0085267667,.046540622,.0096026706,HGO,2019m3,-.047445256,-.0013447987,.006711782,.02113083,.015685875,.0085267667,.046540622,.0096026706,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201801,HGO,122,.10463734,-.014242261,-.048212562,-.021642512,-.031884059,-.040096618,-.024251208,.0040170392,HGO,2018m1,.10463734,-.014242261,-.048212562,-.021642512,-.031884059,-.040096618,-.024251208,.0040170392,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201803,HGO,122,-.06696935,-.025921544,.031309068,.023278173,.020940065,.0126042,.026226223,-.047791664,HGO,2018m3,-.06696935,-.025921544,.031309068,.023278173,.020940065,.0126042,.026226223,-.047791664,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201308,HGO,122,.21427236,-.003754437,.021270895,-.0076167989,.022482967,.0053119594,.019351782,.025217686,HGO,2013m8,.21427236,-.003754437,.021270895,-.0076167989,.022482967,.0053119594,.019351782,.025217686,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201607,HGO,122,.48175183,.05090794,-.050573755,.0063898433,.0019472748,-.014342143,.021000957,.006125119,HGO,2016m7,.32166666,.05090794,-.050573755,.0063898433,.0019472748,-.014342143,.021000957,.006125119,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201802,HGO,122,-.051668461,-.012601813,.031918377,.038756389,.057405517,.030985922,.05595503,.036191959,HGO,2018m2,-.051668461,-.012601813,.031918377,.038756389,.057405517,.030985922,.05595503,.036191959,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201911,HGO,122,-.043609023,.027800994,.0072695296,.018204782,.042834647,.017693788,.014321234,.04495443,HGO,2019m11,-.043609023,.027800994,.0072695296,.018204782,.042834647,.017693788,.014321234,.04495443,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201604,HGO,122,-.091078065,.027977666,.017465761,.019766362,.005062521,.01206435,-.0061404053,.00081939221,HGO,2016m4,-.091078065,.027977666,.017465761,.019766362,.005062521,.01206435,-.0061404053,.00081939221,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201401,HGO,122,-.03341566,-.051575933,.060730617,.0088581527,.024072714,.031118384,.032752164,.015009216,HGO,2014m1,-.03341566,-.051575933,.060730617,.0088581527,.024072714,.031118384,.032752164,.015009216,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201412,HGO,122,-.11753846,-.0063861278,.014530602,.043517191,.041860815,.03378598,.082234994,-.0049633551,HGO,2014m12,-.11753846,-.0063861278,.014530602,.043517191,.041860815,.03378598,.082234994,-.0049633551,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201804,HGO,122,.13017032,.027337052,-.032812681,.034724373,.016093461,.021763738,.029762881,.01508165,HGO,2018m4,.13017032,.027337052,-.032812681,.034724373,.016093461,.021763738,.029762881,.01508165,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201908,HGO,122,-.11366907,-.033259168,.042104345,-.0049981545,.045490801,.013781274,.050519172,-.011060631,HGO,2019m8,-.11366907,-.033259168,.042104345,-.0049981545,.045490801,.013781274,.050519172,-.011060631,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201501,HGO,122,-.15574151,.010803615,.023326255,.10069765,.0086741811,.051260069,.1071277,-.014824925,HGO,2015m1,-.15574151,.010803615,.023326255,.10069765,.0086741811,.051260069,.10232159,-.014824925,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201310,HGO,122,.23284972,.01624893,-.042026408,-.011813846,.024774741,-.020053634,-.00053318217,.014781717,HGO,2013m10,.23284972,.01624893,-.042026408,-.011813846,.024774741,-.020053634,-.00053318217,.014781717,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201302,HGO,122,-.11999163,.014508432,.0067259176,.026148282,.020888058,.032420088,.04759381,.019456213,HGO,2013m2,-.11999163,.014508432,.0067259176,.026148282,.020888058,.032420088,.04759381,.019456213,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201808,HGO,122,.034855768,-.0046063079,.010145165,-.0073576034,.040032934,.01710533,.026931446,.045648653,HGO,2018m8,.034855768,-.0046063079,.010145165,-.0073576034,.040032934,.01710533,.026931446,.045648653,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201509,HGO,122,.060718711,-.041917507,.048893936,.016667347,.0052452642,.031148916,.066434994,-.011657323,HGO,2015m9,.060718711,-.041917507,.048893936,.016667347,.0052452642,.031148916,.066434994,-.011657323,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201809,HGO,122,.033681765,.072190374,.0059653833,.036927443,-.00026723935,.019335363,.0033517028,-.16755807,HGO,2018m9,.033681765,.072190374,.0059653833,.036927443,-.00026723935,.019335363,.0033517028,-.087638296,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201909,HGO,122,.016233766,.011398535,.0083470149,-.00081072742,.0044649281,-.0094707664,-.017931724,-.013264603,HGO,2019m9,.016233766,.011398535,.0083470149,-.00081072742,.0044649281,-.0094707664,-.017931724,-.013264603,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201601,HGO,122,-.061980832,-.067633033,.021708084,.025412535,.044757999,.050829183,.021810986,.0020477236,HGO,2016m1,-.061980832,-.067633033,.021708084,.025412535,.044757999,.050829183,.021810986,.0020477236,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201912,HGO,122,-.077044025,-.019312907,-.018756952,-.022819668,-.0278497,-.042165942,-.014017114,.012139016,HGO,2019m12,-.077044025,-.019312907,-.018756952,-.022819668,-.0278497,-.042165942,-.014017114,.012139016,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201901,HGO,122,-.1298077,.030023843,-.074535772,-.019765383,-.02229026,-.028893782,-.032972429,.0069422228,HGO,2019m1,-.1298077,.030023843,-.074535772,-.019765383,-.02229026,-.028893782,-.032972429,.0069422228,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201711,HGO,122,-.024330901,.0093696741,-.0044826232,.0033067109,.018177258,-.00063853635,.023538748,-.00030979438,HGO,2017m11,-.024330901,.0093696741,-.0044826232,.0033067109,.018177258,-.00063853635,.023538748,-.00030979438,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201502,HGO,122,-.039372247,.052493606,-.0055059162,-.033266671,.026948204,-.0045073279,.0031818021,.0040009641,HGO,2015m2,-.039372247,.052493606,-.0055059162,-.033266671,.026948204,-.0045073279,.0031818021,.0040009641,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
201507,HGO,122,-.15538391,.020738255,-.011307925,.023754317,.10019632,.071346313,-.0044639432,.038442384,HGO,2015m7,-.15538391,.020738255,-.011307925,.023754317,.094508007,.071346313,-.0044639432,.038442384,83,.1331383079882143,.0522312167337809,.7257607085770407,.0117961921978331,.3405821622780217,.1814458683047093,-1.899591749437723,.271070795791474,.8347211889650633,-.0106356039163214
